;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;3.874;9.335;12.06;1.979
1;3.874;9.355;12.13;1.981
2;3.874;9.371;12.13;1.981
3;3.874;9.381;12.15;1.983
4;3.874;9.394;12.17;1.984
5;3.874;9.404;12.17;1.984
6;3.874;9.411;12.18;1.983
7;3.874;9.411;12.19;1.983
8;3.874;9.411;12.19;1.983
9;3.874;9.411;12.19;1.983
10;3.874;9.408;12.19;1.984
11;3.874;9.408;12.2;1.984
12;3.874;9.408;12.2;1.985
13;3.88;9.408;12.19;1.985
14;3.882;9.408;12.19;1.985
15;3.885;9.408;12.19;1.984
16;3.885;9.411;12.19;1.984
17;3.888;9.414;12.2;1.984
18;3.888;9.414;12.27;1.984
19;3.888;9.417;12.37;1.984
20;3.888;9.417;12.46;1.984
21;3.891;9.417;12.49;1.985
22;3.894;9.417;12.49;1.986
23;3.897;9.417;12.56;1.988
24;3.899;9.417;12.64;1.989
25;3.905;9.417;12.7;1.991
26;3.908;9.414;12.83;1.992
27;3.908;9.411;12.95;1.993
28;3.914;9.414;12.97;1.994
29;3.928;9.414;12.97;1.995
30;3.953;9.417;12.97;1.995
31;3.996;9.424;12.99;1.995
32;4.041;9.434;13.07;1.996
33;4.081;9.45;13.16;1.996
34;4.112;9.463;13.37;1.996
35;4.126;9.477;13.64;1.996
36;4.126;9.48;13.68;1.997
37;4.131;9.48;13.71;1.999
38;4.171;9.477;13.76;2.003
39;4.239;9.48;13.79;2.006
40;4.284;9.486;13.89;2.008
41;4.313;9.493;14.05;2.008
42;4.338;9.5;14.2;2.009
43;4.361;9.503;14.25;2.009
44;4.369;9.503;14.25;2.009
45;4.375;9.503;14.25;2.011
46;4.381;9.503;14.25;2.021
47;4.383;9.506;14.25;2.031
48;4.386;9.509;14.25;2.035
49;4.392;9.506;14.25;2.038
50;4.392;9.506;14.25;2.041
51;4.395;9.509;14.26;2.043
52;4.395;9.509;14.27;2.043
53;4.397;9.509;14.27;2.045
54;4.403;9.513;14.3;2.052
55;4.403;9.513;14.31;2.059
56;4.403;9.519;14.31;2.064
57;4.406;9.532;14.31;2.07
58;4.406;9.549;14.32;2.073
59;4.406;9.569;14.33;2.075
60;4.409;9.582;14.33;2.076
61;4.409;9.588;14.33;2.078
62;4.409;9.592;14.35;2.083
63;4.409;9.592;14.36;2.089
64;4.412;9.595;14.38;2.094
65;4.412;9.618;14.39;2.102
66;4.412;9.641;14.39;2.112
67;4.412;9.651;14.41;2.119
68;4.412;9.661;14.44;2.124
69;4.414;9.687;14.48;2.128
70;4.417;9.723;14.48;2.131
71;4.417;9.756;14.48;2.132
72;4.417;9.776;14.49;2.132
73;4.417;9.786;14.49;2.132
74;4.417;9.795;14.5;2.132
75;4.423;9.799;14.5;2.132
76;4.431;9.799;14.51;2.132
77;4.431;9.799;14.51;2.133
78;4.431;9.802;14.52;2.134
79;4.431;9.809;14.54;2.134
80;4.429;9.822;14.55;2.134
81;4.429;9.848;14.55;2.136
82;4.429;9.881;14.55;2.136
83;4.429;9.917;14.55;2.136
84;4.429;9.96;14.59;2.137
85;4.429;9.999;14.64;2.141
86;4.434;10.03;14.64;2.145
87;4.44;10.05;14.69;2.147
88;4.451;10.07;14.73;2.148
89;4.46;10.07;14.79;2.148
90;4.463;10.07;14.87;2.147
91;4.465;10.08;14.91;2.148
92;4.465;10.12;14.92;2.15
93;4.48;10.16;14.93;2.16
94;4.536;10.19;14.93;2.178
95;4.579;10.2;14.94;2.188
96;4.59;10.2;15.04;2.191
97;4.593;10.2;15.18;2.19
98;4.59;10.2;15.23;2.186
99;4.59;10.21;15.24;2.184
100;4.596;10.21;15.25;2.181
101;4.604;10.23;15.33;2.179
102;4.615;10.24;15.42;2.178
103;4.624;10.25;15.43;2.177
104;4.624;10.26;15.45;2.176
105;4.63;10.27;15.48;2.175
106;4.632;10.29;15.52;2.173
107;4.63;10.29;15.63;2.17
108;4.632;10.3;15.73;2.168
109;4.632;10.29;15.74;2.168
110;4.635;10.28;15.76;2.169
111;4.638;10.26;15.81;2.17
112;4.638;10.24;15.82;2.171
113;4.638;10.23;15.82;2.171
114;4.638;10.23;15.82;2.17
115;4.638;10.25;15.82;2.169
116;4.638;10.29;15.84;2.167
117;4.641;10.36;15.84;2.163
118;4.638;10.45;15.86;2.161
119;4.641;10.56;15.9;2.16
120;4.641;10.67;15.92;2.158
121;4.641;10.79;15.93;2.156
122;4.647;10.91;15.93;2.154
123;4.649;11.01;15.97;2.149
124;4.649;11.07;16.07;2.144
125;4.658;11.1;16.11;2.139
126;4.663;11.1;16.18;2.131
127;4.663;11.09;16.33;2.12
128;4.663;11.08;16.37;2.112
129;4.663;11.06;16.37;2.102
130;4.663;11.07;16.37;2.091
131;4.661;11.1;16.4;2.082
132;4.663;11.17;16.81;2.078
133;4.663;11.25;17.41;2.076
134;4.663;11.3;17.71;2.074
135;4.666;11.33;17.85;2.074
136;4.666;11.34;17.89;2.074
137;4.669;11.34;17.9;2.074
138;4.672;11.33;18.14;2.075
139;4.68;11.31;18.52;2.075
140;4.683;11.29;18.77;2.076
141;4.683;11.28;18.87;2.076
142;4.683;11.26;18.9;2.075
143;4.686;11.25;18.9;2.073
144;4.686;11.24;18.93;2.071
145;4.689;11.24;19.0;2.07
146;4.692;11.24;19.1;2.071
147;4.689;11.25;19.19;2.072
148;4.689;11.26;19.26;2.072
149;4.689;11.28;19.33;2.072
150;4.692;11.32;19.38;2.072
151;4.697;11.37;19.39;2.071
152;4.703;11.42;19.39;2.071
153;4.706;11.44;19.39;2.072
154;4.709;11.46;19.4;2.076
155;4.709;11.47;19.46;2.08
156;4.709;11.47;19.48;2.08
157;4.709;11.47;19.49;2.079
158;4.712;11.48;19.49;2.079
159;4.714;11.48;19.54;2.079
160;4.714;11.47;19.63;2.078
161;4.714;11.47;19.69;2.078
162;4.714;11.48;19.7;2.077
163;4.714;11.49;19.71;2.076
164;4.717;11.48;19.72;2.078
165;4.717;11.47;19.85;2.081
166;4.714;11.48;20.04;2.085
167;4.709;11.49;20.08;2.09
168;4.712;11.52;20.09;2.093
169;4.714;11.55;20.13;2.092
170;4.714;11.56;20.15;2.092
171;4.717;11.56;20.15;2.094
172;4.717;11.56;20.16;2.095
173;4.717;11.55;20.16;2.095
174;4.717;11.55;20.16;2.092
175;4.717;11.55;20.21;2.091
176;4.717;11.54;20.28;2.09
177;4.717;11.54;20.34;2.089
178;4.717;11.55;20.4;2.089
179;4.72;11.55;20.53;2.093
180;4.723;11.57;20.66;2.098
181;4.723;11.58;20.7;2.103
182;4.723;11.6;20.7;2.106
183;4.726;11.61;20.71;2.108
184;4.734;11.65;20.73;2.11
185;4.737;11.71;20.75;2.111
186;4.748;11.79;20.76;2.111
187;4.76;11.85;20.76;2.112
188;4.768;11.88;20.76;2.115
189;4.768;11.88;20.76;2.115
190;4.768;11.89;20.76;2.115
191;4.768;11.88;20.76;2.113
192;4.771;11.85;20.76;2.114
193;4.771;11.81;20.76;2.117
194;4.777;11.77;20.76;2.121
195;4.78;11.75;20.79;2.124
196;4.78;11.73;20.8;2.128
197;4.782;11.73;20.8;2.129
198;4.782;11.73;20.83;2.129
199;4.785;11.74;20.84;2.13
200;4.788;11.74;20.85;2.131
201;4.794;11.74;20.86;2.133
202;4.794;11.74;20.88;2.134
203;4.799;11.74;20.88;2.135
204;4.799;11.74;20.9;2.136
205;4.802;11.74;20.94;2.139
206;4.802;11.74;20.96;2.144
207;4.802;11.74;20.96;2.146
208;4.805;11.74;20.99;2.147
209;4.805;11.76;20.99;2.145
210;4.805;11.8;20.99;2.145
211;4.805;11.86;20.99;2.144
212;4.805;11.92;20.99;2.143
213;4.808;11.96;20.99;2.143
214;4.811;11.98;20.99;2.142
215;4.813;11.99;21.0;2.141
216;4.813;11.99;21.0;2.14
217;4.813;11.99;21.02;2.141
218;4.813;11.99;21.06;2.142
219;4.813;11.98;21.08;2.142
220;4.816;11.96;21.12;2.142
221;4.816;11.94;21.14;2.141
222;4.816;11.91;21.14;2.14
223;4.819;11.87;21.14;2.138
224;4.83;11.81;21.17;2.133
225;4.836;11.77;21.3;2.127
226;4.839;11.74;21.4;2.123
227;4.85;11.73;21.48;2.122
228;4.881;11.71;21.72;2.125
229;4.946;11.69;22.09;2.132
230;5.023;11.67;22.14;2.142
231;5.065;11.66;22.26;2.154
232;5.065;11.68;22.69;2.166
233;5.079;11.8;23.1;2.178
234;5.142;12.05;23.54;2.181
235;5.244;12.35;24.22;2.179
236;5.371;12.63;24.91;2.176
237;5.524;12.85;25.2;2.175
238;5.66;12.96;25.29;2.173
239;5.73;12.98;25.32;2.173
240;5.756;12.96;25.33;2.172
241;5.77;12.95;25.33;2.173
242;5.795;12.95;25.35;2.174
243;5.838;12.94;25.36;2.174
244;5.872;12.94;25.36;2.173
245;5.886;12.94;25.35;2.173
246;5.886;12.95;25.35;2.172
247;5.883;12.95;25.34;2.166
248;5.877;12.95;25.34;2.159
249;5.877;12.94;25.34;2.153
250;5.875;12.93;25.35;2.148
251;5.875;12.93;25.38;2.143
252;5.875;12.93;25.44;2.138
253;5.872;12.93;25.59;2.132
254;5.872;12.92;25.72;2.129
255;5.872;12.92;25.78;2.128
256;5.875;12.91;25.81;2.128
257;5.875;12.91;25.81;2.129
258;5.872;12.91;25.86;2.132
259;5.872;12.92;25.85;2.133
260;5.872;12.93;25.84;2.135
261;5.875;12.93;25.84;2.138
262;5.892;12.93;25.87;2.14
263;5.94;12.93;25.88;2.141
264;5.982;12.93;25.98;2.143
265;5.993;12.93;26.13;2.143
266;5.996;12.94;26.14;2.143
267;6.008;12.94;26.17;2.144
268;6.022;12.94;26.25;2.143
269;6.033;12.94;26.27;2.139
270;6.039;12.94;26.23;2.135
271;6.042;12.94;26.23;2.137
272;6.042;12.94;26.23;2.141
273;6.042;12.94;26.23;2.145
274;6.042;12.94;26.23;2.148
275;6.044;12.94;26.36;2.148
276;6.047;12.94;26.59;2.147
277;6.05;12.94;26.93;2.146
278;6.059;12.94;27.34;2.146
279;6.059;12.95;27.48;2.151
280;6.056;12.97;27.47;2.162
281;6.056;12.99;27.41;2.166
282;6.05;13.0;27.37;2.167
283;6.044;13.0;27.41;2.167
284;6.044;13.01;27.69;2.167
285;6.05;13.02;27.7;2.167
286;6.078;13.03;27.7;2.17
287;6.104;13.04;27.7;2.173
288;6.104;13.04;27.77;2.177
289;6.095;13.03;28.29;2.179
290;6.073;13.03;28.69;2.183
291;6.047;13.03;28.71;2.19
292;6.027;13.02;28.69;2.196
293;6.019;13.02;28.65;2.2
294;6.025;13.03;28.61;2.205
295;6.03;13.03;28.58;2.211
296;6.042;13.03;28.63;2.215
297;6.061;13.04;28.72;2.217
298;6.078;13.08;28.79;2.218
299;6.084;13.16;28.86;2.218
300;6.107;13.24;28.92;2.216
301;6.177;13.3;28.93;2.216
302;6.265;13.34;28.93;2.215
303;6.33;13.37;28.94;2.218
304;6.378;13.43;28.99;2.226
305;6.418;13.56;28.98;2.239
306;6.435;13.71;29.14;2.258
307;6.438;13.83;29.17;2.278
308;6.441;13.92;29.45;2.294
309;6.441;13.98;30.53;2.308
310;6.452;13.98;31.84;2.316
311;6.458;13.99;32.83;2.322
312;6.458;14.05;33.02;2.338
313;6.458;14.19;33.14;2.362
314;6.46;14.42;33.63;2.39
315;6.46;14.73;33.79;2.414
316;6.46;15.01;33.79;2.43
317;6.46;15.17;33.79;2.436
318;6.463;15.22;33.93;2.437
319;6.463;15.22;34.3;2.437
320;6.466;15.22;34.55;2.437
321;6.463;15.23;34.6;2.435
322;6.466;15.25;34.62;2.433
323;6.466;15.25;34.77;2.431
324;6.463;15.26;34.91;2.427
325;6.449;15.26;34.99;2.425
326;6.426;15.26;34.99;2.42
327;6.398;15.26;35.09;2.413
328;6.37;15.26;35.44;2.409
329;6.353;15.26;35.61;2.408
330;6.347;15.26;35.68;2.408
331;6.347;15.29;36.01;2.409
332;6.347;15.3;36.63;2.41
333;6.344;15.31;36.85;2.41
334;6.344;15.35;36.87;2.411
335;6.342;15.41;36.86;2.411
336;6.33;15.43;36.88;2.412
337;6.319;15.43;37.04;2.414
338;6.31;15.44;37.23;2.415
339;6.308;15.45;37.33;2.416
340;6.344;15.47;37.39;2.418
341;6.395;15.48;37.48;2.422
342;6.438;15.49;37.58;2.423
343;6.463;15.51;37.64;2.422
344;6.46;15.54;37.65;2.423
345;6.452;15.63;37.65;2.426
346;6.432;15.74;37.67;2.427
347;6.401;15.85;37.76;2.425
348;6.395;15.93;37.95;2.422
349;6.429;15.98;38.24;2.425
350;6.475;16.01;38.55;2.428
351;6.548;16.01;38.77;2.431
352;6.667;16.02;38.87;2.437
353;6.791;16.06;38.87;2.455
354;6.854;16.08;38.9;2.481
355;6.865;16.11;38.97;2.506
356;6.865;16.14;39.07;2.53
357;6.888;16.14;39.29;2.551
358;6.922;16.14;39.62;2.565
359;6.947;16.16;40.02;2.57
360;6.958;16.2;40.45;2.57
361;6.95;16.31;40.67;2.579
362;6.93;16.46;40.69;2.594
363;6.922;16.53;40.72;2.602
364;6.916;16.53;40.93;2.615
365;6.924;16.55;41.35;2.645
366;6.992;16.71;41.66;2.665
367;7.125;17.03;41.82;2.669
368;7.247;17.35;41.89;2.669
369;7.318;17.5;41.87;2.665
370;7.335;17.56;41.97;2.657
371;7.335;17.59;42.09;2.647
372;7.335;17.62;42.16;2.642
373;7.332;17.68;42.25;2.643
374;7.343;17.77;42.37;2.641
375;7.355;17.93;42.43;2.636
376;7.346;18.24;42.45;2.633
377;7.346;18.64;42.45;2.635
378;7.352;18.93;42.52;2.64
379;7.355;19.1;42.88;2.643
380;7.357;19.16;43.09;2.645
381;7.357;19.16;43.08;2.644
382;7.357;19.15;43.08;2.645
383;7.357;19.16;43.08;2.651
384;7.36;19.17;43.09;2.662
385;7.36;19.17;43.1;2.664
386;7.355;19.17;43.12;2.664
387;7.349;19.24;43.12;2.672
388;7.343;19.46;43.13;2.686
389;7.34;19.67;43.14;2.695
390;7.338;19.84;43.16;2.69
391;7.346;20.08;43.19;2.679
392;7.36;20.41;43.23;2.667
393;7.372;20.79;43.29;2.655
394;7.374;21.15;43.3;2.653
395;7.372;21.44;43.3;2.657
396;7.372;21.6;43.3;2.656
397;7.377;21.69;43.3;2.652
398;7.383;21.76;43.38;2.645
399;7.383;21.81;43.73;2.637
400;7.38;21.83;44.06;2.644
401;7.386;21.84;44.1;2.668
402;7.397;21.85;44.11;2.71
403;7.423;21.86;44.34;2.781
404;7.471;21.88;44.91;2.868
405;7.53;21.9;45.45;2.927
406;7.567;21.93;45.64;2.957
