;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.14;7.093;6.189;1.309
1;12.68;7.093;6.191;1.309
2;13.16;7.097;6.194;1.312
3;13.92;7.105;6.194;1.317
4;14.49;7.116;6.194;1.327
5;14.54;7.12;6.191;1.339
6;14.57;7.12;6.191;1.348
7;14.61;7.132;6.191;1.354
8;14.77;7.136;6.208;1.358
9;15.58;7.136;6.221;1.363
10;16.85;7.14;6.229;1.367
11;17.66;7.144;6.232;1.372
12;18.15;7.148;6.232;1.375
13;18.63;7.148;6.232;1.376
14;18.99;7.151;6.232;1.376
15;19.1;7.159;6.235;1.376
16;19.1;7.163;6.235;1.377
17;19.14;7.159;6.235;1.378
18;19.3;7.159;6.235;1.377
19;19.57;7.163;6.235;1.375
20;19.88;7.167;6.235;1.374
21;20.05;7.167;6.237;1.374
22;20.08;7.171;6.243;1.375
23;20.09;7.182;6.243;1.376
24;20.25;7.229;6.243;1.378
25;20.7;7.303;6.243;1.381
26;21.11;7.384;6.245;1.389
27;21.26;7.466;6.254;1.398
28;21.33;7.539;6.267;1.409
29;21.4;7.566;6.275;1.418
30;21.46;7.57;6.275;1.424
31;21.48;7.574;6.275;1.428
32;21.48;7.582;6.294;1.435
33;21.49;7.578;6.321;1.439
34;21.51;7.574;6.332;1.444
35;21.55;7.574;6.356;1.453
36;21.58;7.578;6.416;1.462
37;21.58;7.582;6.451;1.466
38;21.59;7.582;6.457;1.473
39;21.61;7.578;6.457;1.48
40;21.61;7.559;6.457;1.482
41;21.63;7.539;6.457;1.481
42;21.66;7.547;6.457;1.482
43;21.66;7.566;6.462;1.486
44;21.68;7.601;6.478;1.494
45;21.68;7.636;6.484;1.501
46;21.69;7.636;6.484;1.507
47;21.7;7.621;6.486;1.51
48;21.71;7.597;6.494;1.511
49;21.74;7.593;6.513;1.506
50;21.75;7.609;6.538;1.498
51;21.76;7.613;6.562;1.496
52;21.76;7.613;6.576;1.498
53;21.78;7.621;6.581;1.498
54;21.83;7.632;6.584;1.498
55;21.84;7.64;6.584;1.499
56;21.98;7.632;6.603;1.501
57;22.84;7.628;6.66;1.504
58;24.59;7.628;6.722;1.507
59;26.55;7.628;6.762;1.511
60;27.96;7.628;6.768;1.515
61;28.52;7.652;6.768;1.521
62;28.53;7.702;6.776;1.525
63;28.84;7.745;6.781;1.53
64;29.74;7.768;6.784;1.536
65;30.49;7.776;6.787;1.542
66;30.74;7.772;6.795;1.545
67;30.78;7.772;6.808;1.545
68;30.79;7.787;6.822;1.545
69;30.79;7.865;6.822;1.547
70;30.8;7.981;6.83;1.551
71;30.8;8.078;6.892;1.552
72;30.8;8.202;7.0;1.556
73;30.8;8.357;7.071;1.566
74;30.81;8.509;7.098;1.583
75;30.88;8.633;7.114;1.601
76;30.94;8.741;7.13;1.613
77;30.94;8.838;7.133;1.618
78;30.95;8.9;7.133;1.618
79;31.05;8.931;7.144;1.612
80;31.15;8.935;7.163;1.604
81;31.2;8.935;7.168;1.601
82;31.23;8.939;7.166;1.597
83;31.23;8.943;7.176;1.592
84;31.28;8.939;7.19;1.588
85;31.3;8.935;7.19;1.586
86;31.3;8.935;7.193;1.587
87;31.3;8.935;7.198;1.594
88;31.3;8.931;7.201;1.6
89;31.3;8.955;7.22;1.606
90;31.34;9.017;7.252;1.614
91;31.38;9.083;7.279;1.625
92;31.41;9.137;7.295;1.632
93;31.46;9.176;7.298;1.634
94;31.55;9.207;7.304;1.634
95;31.95;9.226;7.306;1.634
96;32.22;9.226;7.306;1.634
97;32.41;9.222;7.309;1.635
98;32.64;9.242;7.309;1.637
99;32.86;9.315;7.309;1.636
100;32.98;9.459;7.309;1.636
101;33.02;9.599;7.317;1.637
102;33.03;9.738;7.328;1.638
103;33.03;9.936;7.333;1.637
104;33.14;10.15;7.339;1.635
105;33.39;10.29;7.339;1.635
106;33.61;10.36;7.341;1.639
107;33.81;10.38;7.344;1.647
108;34.07;10.41;7.35;1.649
109;34.19;10.47;7.379;1.647
110;34.2;10.51;7.444;1.646
111;34.21;10.51;7.504;1.645
112;34.21;10.52;7.531;1.649
113;34.23;10.52;7.539;1.667
114;34.26;10.52;7.55;1.696
115;34.26;10.52;7.558;1.731
116;34.26;10.51;7.558;1.778
117;34.27;10.5;7.558;1.828
118;34.27;10.49;7.558;1.854
119;34.28;10.49;7.555;1.864
120;34.32;10.48;7.558;1.873
121;34.36;10.49;7.558;1.881
122;34.42;10.49;7.558;1.883
123;34.46;10.49;7.558;1.883
124;34.46;10.49;7.566;1.883
125;34.49;10.49;7.571;1.883
126;34.64;10.49;7.571;1.882
127;34.96;10.49;7.571;1.882
128;35.35;10.49;7.571;1.882
129;35.63;10.49;7.574;1.883
130;35.75;10.49;7.58;1.885
131;35.75;10.49;7.58;1.892
132;35.84;10.48;7.58;1.902
133;35.87;10.47;7.585;1.906
134;35.89;10.46;7.615;1.909
135;35.91;10.49;7.699;1.912
136;35.91;10.6;7.858;1.913
137;35.93;10.83;7.994;1.913
138;36.0;11.21;8.059;1.915
139;36.17;11.64;8.121;1.916
140;36.26;12.07;8.224;1.915
141;36.26;12.46;8.332;1.915
142;36.28;12.69;8.421;1.924
143;36.28;12.77;8.47;1.954
144;36.28;12.78;8.478;1.996
145;36.29;12.78;8.478;2.026
146;36.34;12.78;8.483;2.034
147;36.74;12.83;8.5;2.035
148;37.24;12.98;8.529;2.036
149;37.46;13.22;8.548;2.036
150;37.55;13.46;8.575;2.036
151;37.58;13.59;8.643;2.039
152;37.58;13.67;8.738;2.04
153;37.61;13.76;8.8;2.04
154;37.66;13.88;8.816;2.04
155;37.67;13.95;8.816;2.04
156;37.67;13.97;8.841;2.04
157;37.68;13.98;8.86;2.039
158;37.9;14.0;8.865;2.039
159;38.22;14.01;8.895;2.036
160;38.32;14.02;8.93;2.037
161;38.42;14.02;8.933;2.042
162;38.53;14.02;8.943;2.046
163;38.53;14.02;9.041;2.05
164;38.54;14.02;9.333;2.053
165;38.67;14.01;9.62;2.058
166;39.04;14.01;9.685;2.06
167;39.19;14.01;9.685;2.058
168;39.25;14.02;9.688;2.06
169;39.35;14.04;9.698;2.073
170;39.46;14.07;9.709;2.088
171;39.54;14.07;9.728;2.101
172;39.58;14.07;9.747;2.109
173;39.6;14.07;9.758;2.111
174;39.64;14.06;9.763;2.111
175;39.72;14.06;9.769;2.11
176;39.79;14.14;9.774;2.111
177;39.88;14.28;9.78;2.114
178;39.97;14.38;9.785;2.12
179;40.0;14.48;9.796;2.129
180;40.0;14.62;9.798;2.148
181;40.11;14.82;9.804;2.161
182;40.46;15.08;9.826;2.164
183;40.72;15.35;9.842;2.164
184;40.76;15.54;9.866;2.164
185;40.76;15.62;9.893;2.163
186;40.77;15.66;9.907;2.163
187;40.77;15.67;9.923;2.164
188;40.78;15.66;9.945;2.169
189;40.8;15.67;9.95;2.184
190;40.81;15.68;9.95;2.205
191;40.86;15.71;9.955;2.218
192;40.96;15.78;9.985;2.226
193;40.97;15.91;10.05;2.233
194;40.97;16.08;10.1;2.242
195;41.0;16.21;10.13;2.249
196;41.0;16.28;10.16;2.251
197;41.06;16.35;10.18;2.251
198;41.13;16.42;10.19;2.251
199;41.13;16.47;10.19;2.254
200;41.14;16.52;10.2;2.256
201;41.15;16.6;10.2;2.262
202;41.19;16.67;10.2;2.272
203;41.2;16.71;10.2;2.287
204;41.21;16.72;10.2;2.301
205;41.23;16.73;10.2;2.304
206;41.25;16.73;10.21;2.306
207;41.37;16.73;10.23;2.314
208;41.84;16.74;10.27;2.324
209;42.69;16.75;10.29;2.333
210;43.11;16.75;10.29;2.337
211;43.18;16.76;10.3;2.338
212;44.31;16.76;10.3;2.34
213;45.27;16.76;10.3;2.342
214;45.4;16.76;10.3;2.344
215;45.4;16.76;10.31;2.35
216;45.41;16.76;10.32;2.355
217;45.41;16.76;10.35;2.355
218;45.41;16.76;10.4;2.356
219;45.41;16.76;10.49;2.358
220;45.43;16.78;10.55;2.362
221;45.52;16.79;10.56;2.365
222;45.61;16.8;10.56;2.368
223;45.67;16.8;10.55;2.37
224;45.71;16.81;10.56;2.371
225;45.71;16.81;10.56;2.375
226;45.75;16.81;10.56;2.38
227;45.78;16.81;10.57;2.384
228;45.78;16.81;10.57;2.389
229;45.78;16.82;10.57;2.395
230;45.82;16.84;10.57;2.398
231;45.99;16.85;10.57;2.398
232;46.09;16.86;10.57;2.4
233;46.17;16.87;10.57;2.408
234;46.43;16.89;10.58;2.421
235;46.97;16.91;10.58;2.439
236;47.41;16.91;10.58;2.451
237;47.57;16.91;10.6;2.456
238;47.63;16.92;10.6;2.459
239;47.63;16.93;10.6;2.462
240;47.81;16.93;10.6;2.462
241;48.62;16.93;10.63;2.464
242;49.44;16.94;10.65;2.463
243;49.9;16.96;10.68;2.463
244;50.12;17.0;10.73;2.468
245;50.21;17.03;10.78;2.482
246;50.3;17.05;10.79;2.495
247;50.55;17.06;10.79;2.509
248;50.74;17.06;10.79;2.516
249;50.74;17.04;10.8;2.517
250;51.1;17.03;10.82;2.517
251;51.68;17.02;10.84;2.522
252;51.89;17.05;10.84;2.535
253;51.89;17.09;10.84;2.549
254;51.89;17.12;10.85;2.563
255;51.89;17.2;10.88;2.577
256;51.9;17.35;10.89;2.599
257;51.9;17.5;10.91;2.628
258;51.93;17.64;10.95;2.656
259;51.92;17.79;10.97;2.683
260;52.09;17.91;10.97;2.708
261;52.24;17.98;10.98;2.726
262;52.31;18.01;10.97;2.731
263;52.32;18.01;10.97;2.731
264;52.36;18.02;10.98;2.736
265;52.47;18.04;10.98;2.744
266;52.48;18.09;10.99;2.76
267;52.48;18.15;10.99;2.78
268;52.48;18.21;11.01;2.79
269;52.47;18.29;11.06;2.797
270;52.52;18.37;11.09;2.805
271;52.77;18.42;11.09;2.813
272;52.94;18.44;11.1;2.823
273;53.07;18.44;11.1;2.829
274;53.32;18.45;11.11;2.829
275;53.33;18.52;11.11;2.838
276;53.62;18.67;11.11;2.849
277;53.79;18.75;11.17;2.852
278;53.79;18.81;11.36;2.85
279;53.78;18.88;11.6;2.85
280;53.79;18.91;11.79;2.852
281;53.82;18.94;11.9;2.855
282;53.81;18.99;11.94;2.855
283;53.82;19.04;11.95;2.864
284;53.96;19.07;11.95;2.877
285;54.05;19.1;11.97;2.888
286;54.05;19.12;12.02;2.893
287;54.1;19.12;12.14;2.897
288;54.15;19.13;12.39;2.914
289;54.15;19.18;12.78;2.949
290;54.2;19.24;13.16;2.969
291;54.21;19.3;13.5;2.977
292;54.24;19.35;13.72;2.982
293;54.31;19.4;13.85;2.982
294;54.36;19.45;13.97;2.981
295;54.41;19.46;14.1;2.982
296;54.45;19.47;14.2;2.988
297;54.49;19.48;14.27;2.998
298;54.65;19.55;14.33;3.012
299;54.91;19.81;14.36;3.026
300;55.08;20.24;14.38;3.038
301;55.11;20.81;14.39;3.049
302;55.12;21.31;14.39;3.06
303;55.15;21.61;14.39;3.07
304;55.2;21.71;14.39;3.078
305;55.22;21.75;14.39;3.081
306;55.22;21.77;14.41;3.08
307;55.25;21.82;14.43;3.08
308;55.35;21.88;14.46;3.081
309;55.51;21.94;14.51;3.082
310;55.61;21.98;14.63;3.081
311;55.64;21.97;14.91;3.081
312;55.65;21.97;15.5;3.081
313;55.66;21.97;16.47;3.081
314;55.66;21.97;17.72;3.081
315;55.68;21.97;19.0;3.081
316;55.76;21.99;19.99;3.083
317;55.77;22.0;20.48;3.094
318;56.13;22.02;20.63;3.112
319;56.35;22.04;20.66;3.12
320;56.35;22.04;20.65;3.12
321;56.35;22.04;20.76;3.124
322;56.36;22.04;21.21;3.133
323;56.39;22.04;21.95;3.137
324;56.5;22.03;22.71;3.141
325;56.53;22.02;23.32;3.148
326;56.62;22.01;23.73;3.151
327;56.84;22.03;23.93;3.15
328;56.92;22.04;24.03;3.151
329;56.97;22.06;24.08;3.152
330;57.04;22.11;24.11;3.152
331;57.07;22.16;24.13;3.152
332;57.07;22.18;24.15;3.155
333;57.08;22.23;24.15;3.174
334;57.14;22.35;24.15;3.21
335;57.16;22.52;24.17;3.252
336;57.17;22.63;24.21;3.285
337;57.19;22.67;24.29;3.3
338;57.19;22.7;24.44;3.305
339;57.3;22.74;24.61;3.309
340;57.47;22.75;24.81;3.32
341;57.48;22.76;25.01;3.346
342;57.51;22.82;25.23;3.366
343;57.67;22.88;25.53;3.371
344;57.95;22.96;25.87;3.374
345;58.13;23.12;26.12;3.379
346;58.15;23.35;26.24;3.384
347;58.15;23.63;26.25;3.394
348;58.14;23.99;26.27;3.425
349;58.15;24.34;26.32;3.469
350;58.19;24.7;26.38;3.497
351;58.27;25.09;26.57;3.504
352;58.32;25.31;26.99;3.504
353;58.32;25.41;27.47;3.511
354;58.32;25.47;27.89;3.53
355;58.34;25.48;28.17;3.554
356;58.41;25.51;28.32;3.573
357;58.53;25.71;28.41;3.584
358;58.68;26.22;28.47;3.59
359;58.76;27.04;28.51;3.597
360;58.76;28.04;28.54;3.608
361;58.82;28.99;28.58;3.619
362;58.93;29.59;28.6;3.627
363;59.01;29.83;28.61;3.633
364;59.04;29.94;28.62;3.637
365;59.05;30.03;28.62;3.637
366;59.06;30.05;28.62;3.637
367;59.06;30.06;28.63;3.638
368;59.05;30.07;28.64;3.637
369;59.05;30.11;28.65;3.636
370;59.05;30.14;28.69;3.635
371;59.05;30.18;28.77;3.636
372;59.05;30.28;28.84;3.637
373;59.05;30.4;28.93;3.639
374;59.05;30.44;29.03;3.641
375;59.05;30.44;29.12;3.642
376;59.05;30.44;29.16;3.642
377;59.05;30.46;29.18;3.644
378;59.06;30.56;29.19;3.646
379;59.08;30.77;29.21;3.646
380;59.22;31.12;29.25;3.651
381;59.23;31.51;29.29;3.659
382;59.27;31.83;29.32;3.674
383;59.26;32.13;29.34;3.696
384;59.26;32.42;29.34;3.71
385;59.38;32.65;29.35;3.715
386;59.72;32.82;29.35;3.715
387;59.89;32.95;29.35;3.716
388;59.97;33.02;29.37;3.724
389;59.99;33.04;29.41;3.731
390;59.99;33.04;29.48;3.732
391;59.99;33.04;29.62;3.734
392;60.07;33.04;29.77;3.744
393;60.09;33.04;29.89;3.749
394;60.15;33.08;29.94;3.749
395;60.35;33.22;29.94;3.749
396;60.58;33.45;29.95;3.748
397;60.73;33.66;29.96;3.747
398;60.74;33.79;29.97;3.746
399;60.77;33.84;30.0;3.744
400;60.81;33.91;30.01;3.741
401;60.82;33.99;30.01;3.739
402;60.82;34.04;30.02;3.74
403;60.82;34.05;30.02;3.74
404;60.83;34.05;30.05;3.741
405;60.83;34.04;30.12;3.748
406;60.84;34.04;30.23;3.772
407;60.88;34.05;30.37;3.803
408;60.97;34.07;30.51;3.829
409;60.99;34.1;30.59;3.853
410;61.0;34.12;30.64;3.879
411;61.06;34.14;30.66;3.897
412;61.08;34.18;30.66;3.902
413;61.12;34.21;30.65;3.902
414;61.15;34.23;30.65;3.901
415;61.15;34.23;30.66;3.907
416;61.15;34.24;30.68;3.927
417;61.15;34.29;30.74;3.943
418;61.14;34.49;30.88;3.95
419;61.16;34.83;31.12;3.954
420;61.21;35.23;31.36;3.957
421;61.23;35.57;31.53;3.964
422;61.22;35.8;31.64;3.987
423;61.2;36.02;31.71;4.016
424;61.2;36.23;31.77;4.033
425;61.21;36.31;31.81;4.042
426;61.22;36.32;31.81;4.045
427;61.17;36.32;31.96;4.045
428;61.12;36.32;32.14;4.051
429;61.11;36.33;32.25;4.059
430;61.17;36.44;32.34;4.073
431;61.19;36.69;32.42;4.085
432;61.19;37.05;32.46;4.093
433;61.15;37.45;32.49;4.097
434;61.17;37.86;32.51;4.1
435;61.18;38.16;32.52;4.099
436;61.18;38.23;32.53;4.098
437;61.18;38.24;32.56;4.099
438;61.28;38.24;32.57;4.103
439;61.51;38.24;32.58;4.106
440;61.63;38.24;32.58;4.106
441;61.65;38.24;32.59;4.107
442;61.65;38.24;32.63;4.108
443;61.66;38.24;32.66;4.11
444;61.66;38.25;32.67;4.11
445;61.67;38.27;32.67;4.108
446;61.67;38.29;32.67;4.105
447;61.66;38.3;32.68;4.103
448;61.64;38.29;32.7;4.103
449;61.7;38.29;32.73;4.103
450;61.61;38.3;32.75;4.104
451;61.47;38.32;32.77;4.104
452;61.37;38.33;32.78;4.105
453;61.32;38.33;32.78;4.107
454;61.18;38.32;32.78;4.111
455;61.05;38.32;32.79;4.112
456;61.04;38.32;32.79;4.108
457;61.04;38.33;32.79;4.106
458;61.04;38.37;32.79;4.104
459;61.02;38.49;32.79;4.103
460;60.82;38.63;32.79;4.102
461;60.51;38.75;32.79;4.101
462;60.51;38.87;32.81;4.1
463;60.53;38.99;32.83;4.099
464;60.41;39.11;32.88;4.101
465;60.32;39.21;32.95;4.101
466;60.37;39.27;33.01;4.101
467;60.39;39.29;33.06;4.101
468;60.38;39.31;33.12;4.102
469;60.39;39.35;33.14;4.103
470;60.32;39.36;33.14;4.103
471;60.24;39.36;33.14;4.104
472;60.18;39.38;33.14;4.106
473;60.2;39.42;33.14;4.106
474;60.21;39.47;33.14;4.105
475;60.17;39.52;33.14;4.105
476;60.13;39.56;33.15;4.106
477;60.08;39.61;33.16;4.105
478;60.06;39.63;33.18;4.103
479;60.07;39.64;33.19;4.098
480;60.06;39.65;33.19;4.094
481;60.04;39.66;33.19;4.094
482;60.04;39.67;33.19;4.094
483;60.04;39.71;33.2;4.092
484;60.07;39.78;33.24;4.092
485;60.09;39.82;33.26;4.09
486;60.09;39.83;33.26;4.087
487;60.08;39.83;33.25;4.084
488;60.08;39.83;33.25;4.082
489;60.08;39.83;33.25;4.082
490;60.08;39.85;33.26;4.086
491;60.2;39.9;33.3;4.101
492;60.51;39.97;33.38;4.118
493;60.64;40.07;33.46;4.125
494;60.69;40.21;33.47;4.124
495;60.73;40.36;33.47;4.12
496;60.74;40.48;33.48;4.118
497;60.74;40.71;33.5;4.121
498;60.76;41.29;33.52;4.128
499;60.78;42.31;33.55;4.135
500;60.85;43.41;33.57;4.141
501;60.91;44.27;33.57;4.143
502;60.92;44.8;33.57;4.142
503;60.94;45.03;33.61;4.141
504;61.01;45.08;33.69;4.142
505;61.08;45.07;33.76;4.146
506;61.08;45.07;33.8;4.146
507;61.13;45.1;33.81;4.146
508;61.17;45.17;33.81;4.149
509;60.7;45.27;33.8;4.155
510;59.91;45.46;33.79;4.164
511;59.3;45.74;33.79;4.177
512;59.12;45.86;33.79;4.181
513;59.17;45.88;33.79;4.18
514;59.04;45.89;33.79;4.178
515;58.61;45.9;33.82;4.176
516;58.23;45.92;33.85;4.174
517;58.1;45.94;33.88;4.174
518;58.08;45.96;33.91;4.177
519;58.1;45.96;33.94;4.177
520;58.1;45.98;33.96;4.18
521;58.1;46.04;33.96;4.186
522;58.1;46.11;33.95;4.184
523;58.13;46.15;33.93;4.197
524;58.17;46.22;33.95;4.236
525;58.16;46.36;34.02;4.287
526;58.18;46.58;34.13;4.345
527;58.3;46.76;34.2;4.39
528;58.43;46.93;34.24;4.41
529;58.42;47.15;34.29;4.413
530;58.45;47.4;34.34;4.412
531;58.51;47.62;34.38;4.411
532;58.57;47.84;34.4;4.418
533;58.6;48.02;34.41;4.426
