;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;11.88;12.06;3.385;1.792
1;12.02;12.15;3.385;1.806
2;12.06;12.21;3.383;1.818
3;12.06;12.25;3.38;1.826
4;12.06;12.28;3.377;1.835
5;12.07;12.29;3.374;1.844
6;12.11;12.29;3.372;1.847
7;12.14;12.29;3.372;1.848
8;12.18;12.29;3.372;1.849
9;12.26;12.3;3.372;1.85
10;12.35;12.31;3.377;1.85
11;12.43;12.32;3.377;1.85
12;12.55;12.34;3.374;1.853
13;12.69;12.37;3.374;1.861
14;12.76;12.43;3.38;1.865
15;12.77;12.49;3.391;1.863
16;12.77;12.54;3.404;1.861
17;12.77;12.55;3.415;1.859
18;12.77;12.54;3.415;1.853
19;12.81;12.54;3.415;1.844
20;12.85;12.55;3.418;1.835
21;12.84;12.55;3.418;1.833
22;12.83;12.55;3.418;1.837
23;12.83;12.56;3.423;1.844
24;12.82;12.58;3.423;1.852
25;12.82;12.61;3.423;1.859
26;12.82;12.62;3.423;1.865
27;12.82;12.62;3.423;1.869
28;12.82;12.6;3.426;1.868
29;12.86;12.58;3.423;1.866
30;12.98;12.55;3.423;1.866
31;13.05;12.52;3.426;1.874
32;13.09;12.53;3.423;1.882
33;13.17;12.55;3.423;1.887
34;13.21;12.57;3.423;1.892
35;13.23;12.57;3.42;1.897
36;13.3;12.56;3.42;1.899
37;13.32;12.55;3.423;1.897
38;13.34;12.55;3.423;1.893
39;13.34;12.55;3.423;1.887
40;13.39;12.55;3.423;1.883
41;13.54;12.54;3.426;1.885
42;13.63;12.53;3.426;1.887
43;13.63;12.53;3.426;1.887
44;13.79;12.53;3.426;1.888
45;14.03;12.53;3.426;1.892
46;14.14;12.53;3.426;1.894
47;14.18;12.53;3.426;1.899
48;14.19;12.53;3.426;1.907
49;14.19;12.53;3.426;1.915
50;14.22;12.54;3.429;1.922
51;14.25;12.55;3.429;1.926
52;14.25;12.58;3.431;1.927
53;14.25;12.63;3.431;1.927
54;14.26;12.64;3.434;1.926
55;14.26;12.64;3.434;1.923
56;14.27;12.64;3.434;1.921
57;14.3;12.64;3.434;1.923
58;14.34;12.64;3.431;1.922
59;14.38;12.64;3.431;1.923
60;14.41;12.62;3.431;1.923
61;14.42;12.61;3.429;1.923
