;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;9.868;12.01;3.391;1.532
1;10.04;12.08;3.383;1.541
2;10.14;12.24;3.377;1.544
3;10.2;12.43;3.385;1.546
4;10.23;12.55;3.399;1.546
5;10.24;12.58;3.401;1.547
6;10.24;12.59;3.404;1.549
7;10.24;12.59;3.418;1.549
8;10.24;12.59;3.434;1.549
9;10.25;12.6;3.442;1.549
10;10.26;12.64;3.456;1.548
11;10.26;12.71;3.48;1.546
12;10.31;12.79;3.493;1.546
13;10.36;12.85;3.493;1.547
14;10.37;12.88;3.493;1.548
15;10.36;12.89;3.493;1.55
16;10.37;12.89;3.493;1.55
17;10.38;12.9;3.504;1.55
18;10.39;12.9;3.515;1.55
19;10.4;12.9;3.523;1.551
20;10.42;12.9;3.526;1.551
21;10.43;12.9;3.526;1.554
22;10.43;12.9;3.523;1.555
23;10.42;12.9;3.518;1.556
24;10.42;12.9;3.518;1.556
25;10.42;12.9;3.521;1.555
26;10.43;12.89;3.539;1.556
27;10.43;12.89;3.572;1.556
28;10.43;12.89;3.596;1.556
29;10.44;12.91;3.613;1.557
30;10.47;12.92;3.615;1.561
31;10.5;12.92;3.615;1.569
32;10.55;12.94;3.618;1.579
33;10.64;12.98;3.626;1.593
34;10.75;13.01;3.659;1.62
35;10.76;13.07;3.696;1.654
36;10.83;13.17;3.737;1.68
37;11.13;13.25;3.802;1.695
38;11.42;13.33;3.87;1.704
39;11.52;13.48;3.899;1.709
40;11.53;13.59;3.918;1.711
41;11.54;13.65;3.943;1.711
42;11.64;13.71;3.964;1.709
43;11.8;13.76;3.967;1.708
44;11.94;13.78;3.962;1.709
45;12.06;13.8;3.97;1.709
46;12.14;13.83;4.027;1.708
47;12.16;13.83;4.138;1.708
48;12.15;13.83;4.27;1.711
49;12.13;13.9;4.392;1.724
50;12.12;14.05;4.451;1.745
51;12.16;14.24;4.465;1.764
52;12.26;14.45;4.47;1.783
53;12.37;14.68;4.476;1.808
54;12.42;14.88;4.473;1.831
55;12.44;15.03;4.47;1.844
56;12.47;15.14;4.47;1.847
57;12.47;15.21;4.47;1.846
58;12.52;15.25;4.47;1.845
59;12.58;15.26;4.476;1.843
60;12.56;15.26;4.476;1.842
61;12.67;15.25;4.476;1.842
62;12.76;15.24;4.495;1.842
63;12.76;15.24;4.53;1.844
64;12.78;15.25;4.554;1.849
65;12.94;15.25;4.565;1.861
66;13.03;15.26;4.576;1.877
67;13.03;15.28;4.587;1.888
68;13.13;15.3;4.595;1.892
69;13.28;15.31;4.595;1.893
70;13.63;15.31;4.595;1.893
71;13.88;15.31;4.598;1.893
72;13.88;15.32;4.608;1.892
73;13.87;15.32;4.625;1.892
74;13.87;15.32;4.638;1.892
75;13.89;15.32;4.646;1.892
76;13.9;15.33;4.646;1.892
77;13.93;15.38;4.646;1.891
78;14.04;15.45;4.652;1.892
79;14.15;15.49;4.66;1.893
80;14.17;15.51;4.665;1.893
81;14.17;15.52;4.681;1.896
82;14.16;15.52;4.703;1.906
83;14.16;15.52;4.714;1.919
84;14.15;15.52;4.717;1.929
85;14.23;15.52;4.725;1.937
86;14.42;15.54;4.733;1.943
87;14.74;15.53;4.733;1.949
88;14.99;15.54;4.736;1.965
89;15.06;15.55;4.744;1.986
90;15.09;15.55;4.749;1.992
91;15.1;15.56;4.757;1.992
92;15.1;15.58;4.773;2.006
93;15.1;15.59;4.787;2.045
94;15.16;15.58;4.787;2.107
95;15.23;15.58;4.79;2.162
96;15.24;15.63;4.795;2.192
97;15.25;15.64;4.803;2.203
98;15.27;15.64;4.803;2.207
99;15.31;15.64;4.811;2.214
100;15.41;15.65;4.83;2.221
101;15.55;15.67;4.841;2.223
102;15.71;15.68;4.841;2.225
103;15.89;15.67;4.841;2.225
104;15.98;15.66;4.836;2.225
105;16.0;15.63;4.828;2.225
106;16.02;15.6;4.822;2.225
107;16.04;15.57;4.819;2.226
