;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.01;4.658;1.881;0.8672
1;12.01;4.646;1.878;0.8663
2;12.15;4.638;1.883;0.8659
3;12.83;4.631;1.886;0.8668
4;13.64;4.619;1.886;0.8717
5;14.01;4.603;1.886;0.8746
6;14.09;4.596;1.889;0.8742
7;14.12;4.584;1.894;0.875
8;14.14;4.572;1.9;0.8783
9;14.2;4.565;1.902;0.8824
10;14.33;4.553;1.905;0.8837
11;14.45;4.549;1.908;0.8862
12;14.5;4.553;1.908;0.8956
13;14.53;4.569;1.91;0.9035
14;14.55;4.588;1.916;0.9068
15;14.56;4.6;1.919;0.9122
16;14.57;4.607;1.921;0.915
17;14.57;4.603;1.924;0.915
18;14.57;4.6;1.924;0.9159
19;14.57;4.603;1.924;0.9159
20;14.57;4.603;1.921;0.9163
21;14.58;4.6;1.924;0.9159
22;14.58;4.596;1.924;0.9159
23;14.58;4.6;1.924;0.9167
24;14.58;4.607;1.921;0.9212
25;14.58;4.623;1.924;0.925
26;14.58;4.65;1.927;0.9295
27;14.58;4.685;1.929;0.9361
28;14.58;4.716;1.929;0.9406
29;14.59;4.747;1.929;0.9448
30;14.59;4.774;1.929;0.9489
31;14.6;4.793;1.929;0.9518
32;14.6;4.801;1.929;0.9534
33;14.6;4.801;1.929;0.9551
34;14.61;4.797;1.932;0.9559
35;14.61;4.797;1.932;0.9563
36;14.62;4.793;1.929;0.9563
37;14.62;4.797;1.924;0.9563
38;14.62;4.797;1.913;0.9567
39;14.63;4.801;1.905;0.9571
40;14.63;4.801;1.9;0.9538
41;14.64;4.805;1.9;0.9505
42;14.64;4.805;1.897;0.9505
43;14.65;4.809;1.889;0.9489
44;14.65;4.809;1.892;0.9489
45;14.66;4.809;1.894;0.9493
46;14.66;4.809;1.902;0.9493
47;14.66;4.809;1.905;0.9493
48;14.67;4.809;1.905;0.9493
49;14.67;4.809;1.91;0.9493
50;14.68;4.809;1.905;0.9518
51;14.68;4.809;1.87;0.9534
52;14.69;4.817;1.813;0.9547
53;14.69;4.824;1.748;0.9567
54;14.69;4.828;1.697;0.958
55;14.69;4.828;1.678;0.958
56;14.7;4.828;1.675;0.958
57;14.71;4.824;1.667;0.958
58;14.73;4.828;1.656;0.9592
59;14.74;4.828;1.651;0.9604
60;14.74;4.828;1.648;0.9604
61;14.74;4.828;1.643;0.9609
62;14.74;4.828;1.648;0.9609
63;14.75;4.828;1.651;0.9617
64;14.75;4.828;1.651;0.9625
65;14.75;4.828;1.659;0.9633
66;14.75;4.828;1.659;0.9654
67;14.75;4.828;1.659;0.9679
68;14.75;4.828;1.659;0.9691
69;14.75;4.832;1.659;0.9695
70;14.75;4.836;1.659;0.9691
