;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;4.681;1.064;12.07;0.7196
1;4.744;1.065;12.19;0.7231
2;4.803;1.076;12.31;0.7287
3;4.887;1.088;12.43;0.7331
4;5.058;1.093;12.55;0.7345
5;5.058;1.095;12.66;0.7332
6;5.124;1.095;12.68;0.735
7;5.15;1.097;12.69;0.7374
8;5.152;1.098;12.82;0.7387
9;5.173;1.099;13.01;0.7395
10;5.232;1.101;13.23;0.7406
11;5.476;1.116;13.5;0.7427
12;5.689;1.127;13.76;0.7446
13;5.689;1.128;13.88;0.7453
14;5.734;1.126;13.89;0.7461
15;5.741;1.126;13.98;0.7455
16;5.762;1.13;14.26;0.752
17;5.787;1.143;14.48;0.7607
18;5.919;1.153;14.58;0.763
19;6.005;1.17;14.62;0.7633
20;6.008;1.186;14.62;0.7678
21;6.027;1.188;14.64;0.7689
22;6.062;1.189;14.66;0.7678
23;6.233;1.191;14.73;0.7683
24;6.364;1.191;14.93;0.7693
25;6.456;1.192;15.19;0.7734
26;6.861;1.196;15.44;0.7771
27;6.955;1.204;15.62;0.7773
28;6.967;1.209;15.72;0.776
29;6.967;1.21;15.82;0.7758
30;7.086;1.211;16.02;0.776
31;7.21;1.214;16.17;0.7754
32;7.22;1.215;16.2;0.7754
33;7.367;1.214;16.2;0.7752
34;7.473;1.213;16.2;0.7754
35;7.473;1.213;16.2;0.7755
36;7.618;1.213;16.2;0.7754
37;7.681;1.214;16.22;0.7739
38;7.703;1.214;16.27;0.7739
39;7.735;1.213;16.32;0.7739
40;7.745;1.213;16.34;0.7741
41;7.756;1.213;16.34;0.7739
42;7.768;1.213;16.34;0.7742
43;7.86;1.213;16.37;0.7742
44;7.888;1.213;16.4;0.7742
45;7.888;1.213;16.42;0.7749
46;7.89;1.213;16.43;0.7747
47;7.928;1.213;16.54;0.7762
48;7.937;1.213;16.82;0.7794
49;7.989;1.212;17.17;0.7842
50;8.078;1.213;17.37;0.791
51;8.094;1.216;17.38;0.7964
52;8.099;1.219;17.38;0.7993
53;8.141;1.22;17.4;0.8011
54;8.185;1.221;17.47;0.8027
55;8.185;1.22;17.47;0.807
56;8.209;1.221;17.52;0.8091
57;8.211;1.221;17.69;0.8095
58;8.307;1.221;17.89;0.8095
59;8.378;1.221;17.94;0.8095
60;8.378;1.221;17.94;0.8095
61;8.417;1.221;17.94;0.8086
62;8.425;1.222;17.94;0.8078
63;8.432;1.22;17.94;0.8082
64;8.434;1.219;17.96;0.8128
65;8.457;1.221;17.99;0.8196
66;8.46;1.225;18.0;0.8299
67;8.53;1.227;18.01;0.8368
68;8.563;1.225;18.06;0.8384
69;8.57;1.224;18.2;0.8435
70;8.61;1.221;18.34;0.8532
71;8.722;1.221;18.37;0.8575
72;8.767;1.22;18.37;0.8577
73;8.769;1.22;18.37;0.8582
74;8.776;1.222;18.37;0.8588
75;8.8;1.224;18.39;0.859
76;8.802;1.227;18.46;0.8596
77;8.802;1.227;18.5;0.8599
78;8.802;1.226;18.54;0.8598
