MR32 CSV
Name;Staw lokciowy zginanie, nadgarstkowy wyprost 2
Frequency;1500
Date;17-03-2023 12:32:00
"Time,s";"FLEX.CAPR.U RT,%";"BICEPS BR. RT,%";"BRACHIORAD. RT,%";"LAT. TRICEPS RT,%"
0,0920;1,258;2,995;1,121;1,02
0,0927;1,26;3,004;1,121;1,02
0,0933;1,267;3,004;1,121;1,021
0,0940;1,278;3,004;1,121;1,022
0,0947;1,283;3,004;1,121;1,023
0,0953;1,284;3,006;1,121;1,023
0,0960;1,284;3,006;1,121;1,024
0,0967;1,285;3,006;1,121;1,024
0,0973;1,287;3,006;1,121;1,024
0,0980;1,291;3,006;1,121;1,024
0,0987;1,297;3,006;1,121;1,024
0,0993;1,3;3,006;1,121;1,024
0,1000;1,303;3,009;1,121;1,024
0,1007;1,304;3,009;1,121;1,024
0,1013;1,304;3,009;1,121;1,025
0,1020;1,305;3,009;1,121;1,026
0,1027;1,305;3,012;1,121;1,026
0,1033;1,305;3,015;1,121;1,026
0,1040;1,305;3,02;1,121;1,026
0,1047;1,305;3,023;1,121;1,027
0,1053;1,306;3,026;1,121;1,027
0,1060;1,308;3,026;1,124;1,028
0,1067;1,309;3,026;1,124;1,028
0,1073;1,31;3,026;1,124;1,028
0,1080;1,31;3,026;1,124;1,028
0,1087;1,31;3,029;1,127;1,028
0,1093;1,31;3,034;1,131;1,028
0,1100;1,31;3,046;1,131;1,028
0,1107;1,31;3,06;1,131;1,029
0,1113;1,31;3,079;1,131;1,03
0,1120;1,31;3,102;1,137;1,031
0,1127;1,311;3,113;1,137;1,032
0,1133;1,312;3,116;1,137;1,034
0,1140;1,312;3,119;1,137;1,036
0,1147;1,313;3,122;1,137;1,036
0,1153;1,313;3,122;1,137;1,036
0,1160;1,313;3,122;1,137;1,036
0,1167;1,315;3,124;1,14;1,037
0,1173;1,315;3,124;1,14;1,038
0,1180;1,315;3,124;1,14;1,04
0,1187;1,315;3,124;1,143;1,043
0,1193;1,315;3,124;1,143;1,043
0,1200;1,317;3,124;1,143;1,043
0,1207;1,318;3,124;1,143;1,043
0,1213;1,318;3,124;1,143;1,043
0,1220;1,319;3,124;1,143;1,044
0,1227;1,319;3,124;1,143;1,044
0,1233;1,319;3,124;1,146;1,044
0,1240;1,321;3,127;1,146;1,044
0,1247;1,321;3,127;1,149;1,044
0,1253;1,322;3,13;1,149;1,044
0,1260;1,324;3,133;1,149;1,044
0,1267;1,324;3,133;1,149;1,045
0,1273;1,324;3,133;1,153;1,046
0,1280;1,324;3,133;1,159;1,046
0,1287;1,325;3,136;1,159;1,046
0,1293;1,325;3,136;1,162;1,047
0,1300;1,326;3,136;1,165;1,047
0,1307;1,326;3,136;1,165;1,047
0,1313;1,326;3,136;1,165;1,048
0,1320;1,328;3,136;1,168;1,049
