;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;6.535;2.976;1.971;12.03
1;6.535;3.137;1.972;13.55
2;6.535;3.277;1.981;14.55
3;6.54;3.294;1.983;14.61
4;6.55;3.309;1.984;14.69
5;6.555;3.351;1.99;14.8
6;6.563;3.377;1.999;14.86
7;6.563;3.405;1.999;14.91
8;6.61;3.45;2.005;14.94
9;6.873;3.465;2.009;14.95
10;7.533;3.471;2.009;15.2
11;8.543;3.515;2.01;15.82
12;9.411;3.542;2.02;16.19
13;9.914;3.542;2.031;16.27
14;10.1;3.59;2.039;16.28
15;10.12;3.66;2.046;16.37
16;10.81;3.709;2.047;16.88
17;11.52;3.777;2.051;17.51
18;11.61;3.888;2.064;18.01
19;11.62;4.0;2.072;18.47
20;11.64;4.068;2.074;18.71
21;11.66;4.072;2.074;18.71
22;11.68;4.147;2.078;19.21
23;11.68;4.387;2.09;20.71
24;11.72;4.554;2.098;22.06
25;11.84;4.569;2.104;22.33
26;11.91;4.6;2.112;22.34
27;11.95;4.733;2.114;22.39
28;11.96;4.858;2.115;22.43
29;11.98;4.897;2.115;22.44
30;11.99;4.897;2.115;22.44
31;12.31;4.9;2.115;22.45
32;12.54;4.906;2.116;22.63
33;12.55;4.915;2.115;23.04
34;12.55;4.924;2.119;23.66
35;12.55;4.938;2.121;24.23
36;12.55;4.98;2.128;24.46
37;12.55;5.084;2.144;24.48
38;12.55;5.242;2.149;24.55
39;12.56;5.455;2.151;25.31
40;12.56;5.684;2.169;26.79
41;12.56;5.773;2.197;27.7
42;12.56;5.775;2.207;27.86
43;12.59;5.868;2.207;27.87
44;12.64;6.006;2.21;28.11
45;12.68;6.068;2.21;28.52
46;12.72;6.079;2.211;29.09
47;12.86;6.092;2.216;30.0
48;13.12;6.125;2.217;30.84
49;13.19;6.127;2.222;30.99
50;13.35;6.169;2.237;31.11
51;13.94;6.28;2.292;31.64
52;14.3;6.345;2.292;31.85
53;14.44;6.353;2.318;31.88
54;14.52;6.354;2.323;32.29
55;14.56;6.365;2.323;32.75
56;14.58;6.393;2.327;32.9
57;14.6;6.469;2.348;32.93
58;14.61;6.538;2.409;33.0
59;14.61;6.544;2.507;33.17
60;14.61;6.551;2.552;33.28
61;14.61;6.559;2.56;33.32
62;14.61;6.563;2.612;33.39
63;14.61;6.603;2.617;33.49
64;14.61;6.613;2.617;33.51
65;14.61;6.639;2.62;34.7
66;14.61;6.721;2.62;37.15
67;14.61;6.738;2.626;38.53
68;14.61;6.75;2.632;38.96
69;14.62;6.8;2.677;39.15
70;14.62;6.863;2.708;39.25
71;14.63;6.917;2.724;39.31
72;14.63;6.926;2.74;39.45
73;14.63;6.934;2.753;39.75
74;14.64;6.958;2.764;40.11
75;14.65;6.965;2.77;40.27
76;14.65;6.967;2.772;40.27
77;14.65;6.983;2.773;40.33
78;14.65;6.994;2.776;40.66
79;14.65;7.001;2.777;41.67
80;14.66;7.015;2.778;43.39
81;14.66;7.023;2.778;44.87
82;14.67;7.023;2.782;45.42
83;14.67;7.035;2.799;45.45
84;14.68;7.117;2.82;45.57
85;14.68;7.406;2.851;46.28
86;14.69;7.729;2.894;47.53
87;14.71;7.799;2.908;48.12
88;14.71;7.811;2.91;48.15
89;14.71;7.92;2.926;48.15
90;14.71;8.061;2.934;48.25
91;14.72;8.195;2.937;48.49
92;14.72;8.314;2.94;48.69
93;14.72;8.403;2.94;48.75
94;14.72;8.451;2.941;48.75
95;14.73;8.468;2.944;48.75
96;14.74;8.469;2.951;48.77
97;14.75;8.472;2.953;48.81
98;14.75;8.483;2.954;48.83
99;14.75;8.496;2.955;48.85
100;14.75;8.51;2.965;48.85
101;14.75;8.519;2.965;48.87
102;14.75;8.528;2.968;48.92
103;14.75;8.531;2.968;49.09
104;14.75;8.534;2.97;49.33
105;14.75;8.576;2.975;49.35
106;14.77;8.79;2.994;49.48
107;14.79;9.064;3.01;49.71
108;14.81;9.162;3.017;49.78
