;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.3;2.944;2.173;3.36
1;12.52;2.944;2.187;3.363
2;12.56;2.949;2.307;3.391
3;12.57;2.953;2.337;3.541
4;12.57;2.953;2.338;3.821
5;12.57;2.953;2.344;4.132
6;12.61;2.969;2.345;4.42
7;13.03;3.001;2.346;4.689
8;13.85;3.024;2.352;4.846
9;14.6;3.034;2.356;4.857
10;15.06;3.034;2.365;4.893
11;15.11;3.036;2.425;5.027
12;15.2;3.056;2.532;5.205
13;15.56;3.096;2.565;5.37
14;16.03;3.173;2.565;5.511
15;16.51;3.286;2.565;5.626
16;16.8;3.412;2.569;5.692
17;16.95;3.504;2.573;5.718
18;17.08;3.546;2.573;5.733
19;17.24;3.567;2.573;5.744
20;17.3;3.578;2.576;5.747
21;17.38;3.578;2.577;5.747
22;18.4;3.59;2.58;5.747
23;19.99;3.615;2.583;5.762
24;20.71;3.635;2.582;5.788
25;20.75;3.656;2.584;5.799
26;20.98;3.69;2.59;5.799
27;22.15;3.736;2.603;5.809
28;24.1;3.792;2.632;5.856
29;25.82;3.836;2.685;5.89
30;26.7;3.845;2.722;5.89
31;26.85;3.849;2.754;5.914
32;26.86;3.861;2.823;5.948
33;26.97;3.867;2.858;5.969
34;27.0;3.868;2.858;5.969
35;27.01;3.868;2.857;6.003
36;27.03;3.879;2.857;6.173
37;27.03;3.93;2.857;6.524
38;27.03;3.998;2.866;6.953
39;27.04;4.044;2.911;7.267
40;27.16;4.081;2.925;7.372
41;27.35;4.12;2.937;7.372
42;27.69;4.155;2.986;7.489
43;28.22;4.194;2.994;7.759
44;28.59;4.222;3.006;8.075
45;28.64;4.226;3.008;8.298
46;28.7;4.224;3.018;8.353
47;29.01;4.224;3.04;8.353
48;29.32;4.224;3.056;8.395
49;29.48;4.229;3.057;8.497
50;29.67;4.263;3.068;8.581
51;29.94;4.307;3.093;8.581
52;30.17;4.316;3.113;8.876
53;30.27;4.325;3.122;9.664
54;30.27;4.408;3.123;10.54
55;30.41;4.552;3.124;11.24
56;30.79;4.725;3.124;11.63
57;31.06;4.885;3.127;11.69
58;31.09;4.996;3.13;11.74
59;31.11;5.07;3.132;12.15
60;31.19;5.09;3.143;13.15
61;31.29;5.083;3.159;14.55
62;31.34;5.085;3.207;15.58
63;31.35;5.074;3.265;15.95
64;31.35;5.116;3.293;16.03
65;31.35;5.228;3.297;16.04
66;31.35;5.403;3.301;16.04
67;31.63;5.556;3.317;16.04
68;32.54;5.63;3.324;16.04
69;33.55;5.676;3.326;16.05
70;34.63;5.715;3.326;16.06
71;35.46;5.74;3.332;16.06
72;35.57;5.757;3.332;16.06
73;35.58;5.768;3.339;16.06
74;35.58;5.761;3.477;16.09
75;35.58;5.759;3.575;16.19
76;35.59;5.763;3.576;16.31
77;35.59;5.759;3.58;16.42
78;35.6;5.752;3.585;16.5
79;35.61;5.754;3.587;16.55
