;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.4;2.066;1.56;1.717
1;12.73;2.096;1.564;1.829
2;12.89;2.119;1.58;1.902
3;13.04;2.139;1.597;1.939
4;13.24;2.153;1.599;1.952
5;13.36;2.16;1.6;1.95
6;13.36;2.16;1.601;1.997
7;13.38;2.16;1.607;2.141
8;13.44;2.16;1.615;2.303
9;13.59;2.16;1.615;2.441
10;14.06;2.158;1.618;2.538
11;14.91;2.156;1.619;2.58
12;15.64;2.156;1.748;2.588
13;16.05;2.156;1.941;2.588
14;16.27;2.155;1.949;2.591
15;16.37;2.155;1.979;2.601
16;16.42;2.156;2.0;2.627
17;16.48;2.165;2.007;2.667
18;16.54;2.171;2.009;2.693
19;16.57;2.174;2.008;2.708
20;16.61;2.181;2.008;2.727
21;16.66;2.188;2.009;2.742
22;16.69;2.195;2.026;2.75
23;16.69;2.201;2.035;2.75
24;16.71;2.204;2.038;2.75
25;16.77;2.204;2.045;2.756
26;16.87;2.204;2.047;2.756
27;16.98;2.206;2.071;2.758
28;17.09;2.206;2.113;2.761
29;17.18;2.213;2.15;2.761
30;17.3;2.245;2.152;2.761
31;17.46;2.278;2.167;2.761
32;17.56;2.303;2.185;2.763
33;17.71;2.321;2.189;2.763
34;18.21;2.342;2.194;2.771
35;18.87;2.381;2.201;2.8
36;19.24;2.433;2.204;2.878
37;19.27;2.477;2.204;3.004
38;19.45;2.51;2.205;3.124
39;20.18;2.537;2.206;3.206
40;21.06;2.542;2.213;3.24
41;21.99;2.542;2.213;3.242
42;22.82;2.546;2.221;3.245
43;23.12;2.548;2.225;3.255
44;23.13;2.551;2.226;3.281
45;23.18;2.553;2.228;3.342
46;23.35;2.555;2.227;3.407
47;23.52;2.556;2.228;3.444
48;23.66;2.555;2.228;3.483
49;23.86;2.555;2.243;3.559
50;23.99;2.555;2.271;3.64
51;23.99;2.556;2.288;3.684
52;24.0;2.556;2.288;3.7
53;24.02;2.558;2.294;3.708
54;24.12;2.588;2.295;3.708
55;24.25;2.71;2.336;3.713
56;24.44;2.87;2.393;3.718
57;24.62;2.996;2.397;3.721
58;24.64;3.086;2.436;3.721
59;24.8;3.15;2.515;3.732
60;25.44;3.197;2.529;3.753
61;25.96;3.233;2.53;3.771
62;26.2;3.25;2.529;3.815
63;26.4;3.259;2.537;3.889
64;26.51;3.258;2.543;3.951
65;26.51;3.268;2.544;3.975
66;26.53;3.286;2.545;3.975
67;26.55;3.305;2.551;4.006
68;26.55;3.343;2.552;4.077
69;26.62;3.413;2.554;4.174
70;26.7;3.468;2.558;4.221
71;26.7;3.497;2.557;4.221
72;26.72;3.518;2.558;4.252
73;26.83;3.539;2.583;4.284
74;26.91;3.544;2.7;4.31
75;26.96;3.544;2.72;4.323
76;27.02;3.551;2.784;4.326
77;27.07;3.555;2.919;4.375
78;27.08;3.557;2.942;4.472
79;27.09;3.555;2.952;4.634
80;27.09;3.56;2.997;4.77
81;27.1;3.571;3.021;4.781
82;27.14;3.578;3.021;4.786
83;27.18;3.583;3.028;4.786
84;27.18;3.594;3.046;4.807
85;27.19;3.617;3.079;4.828
86;27.23;3.649;3.085;4.846
87;27.32;3.695;3.086;4.857
88;27.58;3.737;3.122;4.857
89;27.85;3.757;3.182;4.857
90;27.96;3.76;3.182;4.87
91;27.99;3.76;3.237;4.909
92;27.99;3.76;3.295;4.951
93;28.08;3.764;3.319;4.969
94;28.28;3.797;3.318;4.972
95;28.48;3.893;3.321;5.027
96;28.67;4.021;3.327;5.082
97;28.82;4.134;3.356;5.103
98;28.86;4.238;3.363;5.134
99;28.86;4.327;3.367;5.218
100;28.86;4.385;3.384;5.346
101;28.86;4.437;3.391;5.532
102;28.87;4.49;3.407;5.778
103;28.87;4.53;3.5;5.94
104;28.88;4.543;3.553;5.953
105;28.89;4.541;3.566;6.008
106;28.89;4.555;3.65;6.249
107;28.89;4.585;3.692;6.534
108;28.91;4.633;3.695;6.738
109;28.98;4.69;3.715;6.843
110;29.16;4.748;3.805;6.861
111;29.41;4.826;3.856;6.864
112;29.76;4.927;3.856;6.908
113;30.21;5.03;3.874;7.073
114;30.53;5.136;3.881;7.309
115;30.72;5.269;3.882;7.434
116;30.8;5.41;3.889;7.5
117;30.8;5.541;3.901;7.576
118;30.8;5.671;3.904;7.62
119;30.83;5.793;3.911;7.625
120;30.83;5.881;3.917;7.625
121;30.85;5.941;3.933;7.659
122;30.85;5.987;3.98;7.832
123;30.99;6.019;3.98;8.102
124;31.98;6.039;4.02;8.342
125;34.94;6.051;4.061;8.478
126;37.78;6.06;4.066;8.499
127;38.9;6.062;4.08;8.505
128;39.3;6.06;4.108;8.549
129;39.34;6.076;4.111;8.704
130;39.47;6.129;4.126;8.931
131;39.81;6.186;4.234;8.991
132;39.99;6.212;4.332;8.999
133;40.13;6.221;4.366;9.07
134;40.4;6.226;4.425;9.195
135;40.93;6.232;4.525;9.274
136;41.44;6.265;4.545;9.277
137;41.66;6.365;4.565;9.329
138;41.76;6.504;4.61;9.334
139;41.89;6.63;4.618;9.509
140;42.17;6.731;4.618;9.75
141;42.93;6.825;4.619;9.905
142;43.83;6.922;4.619;9.957
143;44.17;6.998;4.619;9.96
