;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;13.26;5.086;1.585;1.071
1;14.06;5.096;1.583;1.07
2;14.19;5.143;1.582;1.07
3;14.2;5.219;1.596;1.071
4;14.25;5.307;1.604;1.07
5;14.29;5.379;1.607;1.068
6;14.45;5.43;1.619;1.065
7;14.86;5.459;1.628;1.061
8;15.33;5.469;1.634;1.055
9;15.66;5.465;1.64;1.05
10;15.92;5.457;1.66;1.048
11;16.29;5.449;1.683;1.049
12;16.77;5.439;1.682;1.055
13;17.18;5.439;1.698;1.065
14;17.43;5.472;1.699;1.075
15;17.53;5.549;1.713;1.078
16;17.59;5.681;1.722;1.079
17;17.63;5.826;1.725;1.081
18;17.63;5.929;1.741;1.088
19;17.64;6.013;1.746;1.094
20;17.65;6.099;1.746;1.094
21;17.68;6.144;1.748;1.094
22;17.7;6.146;1.761;1.095
23;17.71;6.148;1.767;1.095
24;17.71;6.151;1.772;1.095
25;17.75;6.155;1.797;1.095
26;17.91;6.175;1.83;1.096
27;18.19;6.255;1.884;1.104
28;18.52;6.378;1.98;1.114
29;18.77;6.483;2.046;1.125
30;18.78;6.571;2.049;1.145
31;19.04;6.666;2.049;1.166
32;19.95;6.758;2.076;1.18
33;21.26;6.805;2.129;1.189
34;22.72;6.811;2.146;1.194
35;23.85;6.813;2.153;1.198
36;24.38;6.825;2.153;1.202
37;24.48;6.856;2.16;1.208
38;24.49;6.908;2.167;1.216
39;24.55;6.959;2.187;1.224
40;24.59;6.981;2.202;1.228
41;24.6;6.988;2.291;1.232
42;24.6;6.99;2.391;1.235
43;24.6;6.988;2.532;1.235
44;24.61;7.002;2.659;1.235
45;24.64;7.068;2.767;1.235
46;24.72;7.23;2.874;1.234
47;24.78;7.521;2.886;1.234
48;24.82;7.876;2.904;1.24
49;24.83;8.175;2.912;1.254
50;24.86;8.366;2.912;1.27
51;25.1;8.448;2.913;1.295
52;25.51;8.459;2.915;1.33
53;25.86;8.459;2.919;1.36
54;26.03;8.485;2.927;1.382
55;26.04;8.532;2.954;1.401
56;26.12;8.565;2.997;1.411
57;26.49;8.594;3.088;1.417
58;26.99;8.666;3.203;1.422
59;27.41;8.787;3.345;1.429
60;27.63;8.877;3.453;1.433
61;27.73;8.906;3.453;1.439
62;27.98;8.906;3.519;1.444
63;28.67;8.906;3.588;1.446
64;29.31;8.91;3.656;1.447
65;29.72;8.908;3.774;1.448
66;30.22;8.906;3.86;1.45
67;30.71;8.902;3.881;1.453
68;31.07;8.898;3.887;1.454
69;31.61;8.896;3.892;1.459
70;32.17;8.894;3.894;1.48
71;32.31;8.891;3.896;1.508
72;32.32;8.898;3.898;1.532
73;32.41;8.92;3.902;1.567
74;32.75;8.971;3.909;1.62
75;33.18;9.039;3.912;1.666
76;33.58;9.088;3.914;1.696
77;34.03;9.121;3.936;1.705
78;34.47;9.162;3.991;1.705
79;34.74;9.209;4.124;1.709
80;34.81;9.248;4.287;1.718
81;34.81;9.273;4.334;1.735
82;34.88;9.291;4.335;1.756
83;34.97;9.312;4.358;1.766
84;35.09;9.335;4.363;1.766
85;35.28;9.347;4.366;1.778
86;35.38;9.347;4.372;1.843
87;35.39;9.345;4.374;1.932
88;35.41;9.351;4.389;1.987
89;35.48;9.363;4.406;2.007
90;35.61;9.39;4.412;2.009
91;35.72;9.437;4.412;2.009
92;35.8;9.499;4.413;2.021
93;35.89;9.579;4.413;2.045
94;35.98;9.661;4.437;2.074
95;36.0;9.731;4.539;2.119
96;36.0;9.772;4.686;2.179
97;36.03;9.778;4.712;2.228
98;36.16;9.78;4.721;2.256
99;36.4;9.784;4.738;2.274
100;36.89;9.788;4.745;2.276
101;37.5;9.796;4.755;2.287
102;37.93;9.798;4.764;2.323
103;38.45;9.798;4.776;2.368
104;39.24;9.804;4.778;2.41
105;39.78;9.809;4.813;2.437
106;39.93;9.813;4.87;2.442
107;39.94;9.825;4.872;2.442
108;39.96;9.856;4.939;2.459
109;40.12;9.903;4.989;2.501
110;40.27;9.968;5.0;2.573
111;40.36;10.05;5.001;2.653
112;40.37;10.13;5.001;2.713
113;40.39;10.2;5.003;2.756
114;40.42;10.24;5.003;2.792
115;40.46;10.27;5.004;2.833
116;40.63;10.32;5.035;2.888
117;40.66;10.38;5.111;2.943
118;40.7;10.42;5.142;2.981
119;40.85;10.46;5.143;3.02
120;40.88;10.49;5.185;3.08
121;40.93;10.53;5.237;3.146
122;41.12;10.57;5.285;3.205
123;41.26;10.61;5.373;3.255
124;41.32;10.64;5.478;3.295
125;41.43;10.65;5.527;3.34
126;41.71;10.66;5.535;3.379
127;41.92;10.67;5.544;3.382
128;41.95;10.67;5.59;3.396
129;41.98;10.68;5.59;3.436
130;42.11;10.74;5.628;3.491
131;42.36;10.81;5.629;3.55
132;42.5;10.86;5.668;3.577
133;42.5;10.89;5.709;3.582
134;42.54;10.91;5.711;3.584
135;42.57;10.93;5.716;3.584
136;42.57;10.96;5.717;3.59
137;42.59;11.0;5.769;3.604
138;42.61;11.02;5.804;3.623
139;42.63;11.02;5.808;3.642
140;42.63;11.02;5.832;3.65
141;42.63;11.02;5.85;3.653
142;42.63;11.02;5.866;3.655
143;42.67;11.02;5.872;3.658
144;42.75;11.02;5.874;3.661
145;42.76;11.02;5.875;3.665
146;42.93;11.02;5.876;3.668
147;43.15;11.03;5.876;3.671
148;43.2;11.03;5.893;3.675
149;43.25;11.04;5.908;3.677
150;43.34;11.06;5.913;3.677
151;43.41;11.08;5.914;3.676
152;43.52;11.14;5.915;3.677
153;43.63;11.35;5.929;3.678
154;43.64;11.66;6.121;3.679
155;43.64;11.97;6.254;3.681
156;43.65;12.4;6.254;3.685
157;43.65;13.1;6.272;3.692
158;43.65;13.83;6.298;3.699
159;43.65;14.33;6.341;3.706
160;43.67;14.65;6.351;3.714
161;43.76;14.85;6.356;3.729
162;43.83;14.91;6.364;3.759
163;43.84;14.91;6.366;3.796
164;44.05;14.94;6.366;3.829
165;44.31;15.09;6.373;3.854
166;44.56;15.36;6.375;3.874
167;44.77;15.73;6.381;3.894
168;44.79;16.17;6.392;3.912
169;44.81;16.72;6.393;3.93
170;44.84;17.33;6.393;3.945
171;44.85;17.85;6.393;3.952
172;45.0;18.23;6.397;3.958
173;45.17;18.51;6.403;3.962
174;45.22;18.73;6.405;3.963
175;45.24;18.93;6.415;3.964
176;45.3;19.12;6.461;3.965
177;45.54;19.26;6.478;3.97
178;45.97;19.35;6.48;3.98
179;46.53;19.4;6.487;3.992
180;47.12;19.43;6.489;4.003
181;47.47;19.45;6.495;4.007
182;47.48;19.47;6.496;4.008
183;47.66;19.47;6.509;4.008
184;47.89;19.48;6.521;4.013
185;47.94;19.52;6.54;4.03
186;47.95;19.56;6.608;4.057
187;47.97;19.56;6.612;4.089
188;48.0;19.59;6.637;4.117
189;48.0;19.65;6.666;4.145
190;48.01;19.77;6.679;4.175
191;48.01;19.98;6.684;4.184
192;48.01;20.25;6.691;4.184
193;48.01;20.52;6.751;4.188
194;48.03;20.8;6.785;4.195
195;48.04;21.05;6.787;4.2
196;48.04;21.24;6.79;4.201
197;48.04;21.4;6.799;4.203
198;48.06;21.61;6.803;4.209
199;48.1;21.89;6.804;4.212
200;48.15;22.14;6.806;4.212
201;48.68;22.34;6.811;4.212
202;49.03;22.51;6.815;4.212
203;49.04;22.66;6.82;4.22
204;49.17;22.78;6.843;4.287
205;49.8;22.87;6.851;4.43
206;50.59;22.95;6.875;4.554
207;51.18;23.07;6.96;4.599
208;51.77;23.19;6.992;4.601
209;52.07;23.31;6.993;4.619
210;52.08;23.44;7.014;4.708
211;52.08;23.57;7.065;4.894
212;52.18;23.68;7.113;5.15
213;52.93;23.78;7.113;5.405
214;53.53;23.83;7.174;5.591
215;53.56;23.84;7.234;5.716
216;53.56;23.84;7.252;5.812
217;53.56;23.84;7.259;5.866
218;53.57;23.87;7.263;5.878
219;53.63;23.93;7.263;5.879
220;53.97;24.06;7.267;5.883
221;54.22;24.36;7.27;5.915
222;54.27;24.83;7.27;5.979
223;54.3;25.41;7.271;6.051
224;54.3;26.02;7.273;6.128
225;54.3;26.65;7.276;6.202
226;54.31;27.3;7.276;6.264
