;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.46;9.882;4.053;1.506
1;13.0;9.882;4.083;1.507
2;13.25;9.897;4.144;1.506
3;13.36;9.925;4.16;1.506
4;13.44;9.952;4.16;1.506
5;13.47;9.983;4.162;1.506
6;13.52;10.03;4.171;1.506
7;13.66;10.08;4.178;1.507
8;13.81;10.1;4.178;1.51
9;13.92;10.1;4.207;1.512
10;14.01;10.11;4.232;1.516
11;14.07;10.16;4.232;1.525
12;14.09;10.25;4.238;1.535
13;14.1;10.35;4.26;1.545
14;14.1;10.43;4.33;1.554
15;14.13;10.5;4.367;1.561
16;14.18;10.53;4.375;1.569
17;14.21;10.52;4.402;1.577
18;14.24;10.51;4.404;1.58
19;14.28;10.53;4.405;1.58
20;14.32;10.59;4.409;1.58
21;14.35;10.68;4.411;1.579
22;14.35;10.74;4.431;1.579
23;14.37;10.76;4.474;1.58
24;14.42;10.77;4.52;1.581
25;14.46;10.79;4.521;1.584
26;14.48;10.81;4.539;1.587
27;14.48;10.82;4.542;1.587
28;14.59;10.82;4.545;1.588
29;14.84;10.83;4.546;1.588
30;15.08;10.83;4.546;1.588
31;15.23;10.82;4.548;1.589
32;15.29;10.81;4.552;1.59
33;15.3;10.81;4.559;1.591
34;15.3;10.81;4.578;1.592
35;15.31;10.81;4.585;1.596
36;15.34;10.81;4.593;1.6
37;15.36;10.81;4.65;1.61
38;15.36;10.82;4.727;1.62
39;15.37;10.85;4.769;1.628
40;15.4;10.89;4.77;1.633
41;15.4;10.96;4.799;1.638
42;15.41;11.06;4.845;1.642
43;15.42;11.19;4.845;1.645
44;15.42;11.26;4.878;1.649
45;15.47;11.27;4.889;1.65
46;15.48;11.29;4.905;1.651
47;15.53;11.35;4.943;1.652
48;15.6;11.41;4.956;1.652
49;15.7;11.44;4.964;1.652
50;16.06;11.46;4.979;1.653
51;16.36;11.48;4.993;1.654
52;16.38;11.5;4.999;1.657
53;16.38;11.5;4.999;1.658
54;16.38;11.51;5.019;1.658
55;16.68;11.51;5.03;1.659
56;17.1;11.52;5.03;1.662
57;17.16;11.52;5.03;1.665
58;17.17;11.52;5.035;1.668
59;17.23;11.52;5.055;1.676
60;17.28;11.52;5.104;1.692
61;17.33;11.52;5.157;1.721
62;17.56;11.52;5.167;1.757
63;18.12;11.52;5.167;1.796
64;18.77;11.53;5.168;1.831
65;19.16;11.55;5.168;1.854
66;19.3;11.59;5.169;1.864
67;19.33;11.65;5.172;1.866
68;19.33;11.66;5.217;1.865
69;19.34;11.66;5.25;1.866
70;19.34;11.67;5.25;1.868
71;19.34;11.67;5.259;1.873
72;19.34;11.67;5.259;1.878
73;19.35;11.69;5.26;1.885
74;19.36;11.75;5.264;1.89
75;19.36;11.82;5.276;1.893
76;19.39;11.88;5.283;1.893
77;19.43;11.93;5.291;1.894
78;19.45;11.95;5.306;1.894
79;19.52;11.97;5.318;1.894
80;19.57;11.98;5.319;1.895
