;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.365;1.396;12.08;1.204
1;1.367;1.396;12.16;1.203
2;1.381;1.393;12.21;1.202
3;1.392;1.394;12.23;1.202
4;1.394;1.393;12.24;1.202
5;1.395;1.393;12.23;1.198
6;1.395;1.394;12.24;1.196
7;1.394;1.393;12.24;1.196
8;1.394;1.392;12.25;1.196
9;1.394;1.389;12.25;1.196
10;1.393;1.382;12.25;1.195
11;1.391;1.376;12.25;1.199
12;1.39;1.373;12.25;1.199
13;1.39;1.372;12.25;1.197
14;1.389;1.369;12.25;1.197
15;1.386;1.363;12.26;1.197
16;1.386;1.356;12.28;1.195
17;1.386;1.358;12.29;1.195
18;1.385;1.357;12.32;1.196
19;1.385;1.359;12.34;1.198
20;1.387;1.36;12.36;1.208
21;1.39;1.361;12.39;1.208
22;1.397;1.362;12.41;1.208
23;1.406;1.361;12.43;1.204
24;1.412;1.359;12.45;1.201
25;1.417;1.358;12.46;1.201
26;1.425;1.359;12.47;1.199
27;1.43;1.361;12.48;1.195
28;1.433;1.362;12.48;1.195
29;1.443;1.362;12.49;1.198
30;1.449;1.362;12.5;1.197
31;1.448;1.362;12.51;1.194
32;1.448;1.361;12.53;1.194
33;1.451;1.36;12.54;1.194
34;1.455;1.362;12.55;1.194
35;1.456;1.366;12.55;1.193
36;1.459;1.365;12.57;1.194
37;1.461;1.365;12.58;1.193
38;1.462;1.365;12.6;1.195
39;1.462;1.364;12.6;1.185
40;1.465;1.363;12.6;1.178
41;1.465;1.363;12.6;1.177
42;1.464;1.363;12.6;1.177
43;1.468;1.362;12.6;1.174
44;1.477;1.362;12.6;1.173
45;1.483;1.363;12.59;1.172
46;1.488;1.365;12.59;1.173
47;1.492;1.367;12.59;1.172
48;1.493;1.363;12.59;1.172
49;1.493;1.357;12.6;1.175
50;1.492;1.356;12.64;1.178
51;1.489;1.356;12.67;1.182
52;1.489;1.357;12.69;1.18
53;1.489;1.357;12.71;1.181
54;1.489;1.353;12.72;1.184
55;1.489;1.352;12.74;1.184
56;1.49;1.352;12.75;1.184
57;1.491;1.352;12.75;1.183
58;1.493;1.352;12.74;1.182
59;1.497;1.352;12.72;1.182
60;1.498;1.352;12.72;1.181
61;1.498;1.352;12.71;1.183
62;1.5;1.352;12.71;1.185
63;1.504;1.352;12.72;1.185
64;1.51;1.351;12.72;1.186
65;1.519;1.351;12.73;1.184
66;1.524;1.351;12.73;1.182
67;1.524;1.351;12.74;1.183
68;1.522;1.351;12.74;1.185
69;1.52;1.353;12.74;1.185
70;1.521;1.353;12.75;1.185
71;1.523;1.354;12.75;1.185
72;1.523;1.353;12.75;1.186
73;1.524;1.354;12.75;1.193
74;1.527;1.352;12.75;1.199
75;1.528;1.35;12.76;1.189
76;1.529;1.349;12.77;1.185
77;1.53;1.35;12.79;1.185
78;1.531;1.353;12.8;1.185
79;1.534;1.359;12.81;1.185
80;1.537;1.363;12.83;1.184
81;1.54;1.366;12.89;1.183
82;1.544;1.369;12.95;1.182
