;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;3.865;12.02;1.644;2.12
1;3.865;12.52;1.644;2.137
2;3.865;12.91;1.644;2.154
3;3.865;13.26;1.644;2.175
4;3.865;13.61;1.644;2.201
5;3.865;13.88;1.644;2.23
6;3.865;14.04;1.644;2.26
7;3.87;14.13;1.644;2.287
8;3.87;14.15;1.649;2.308
9;3.87;14.15;1.656;2.324
10;3.87;14.16;1.658;2.339
11;3.87;14.21;1.662;2.351
12;3.874;14.3;1.674;2.359
13;3.874;14.42;1.676;2.365
14;3.874;14.61;1.678;2.369
15;3.879;14.91;1.694;2.372
16;3.897;15.25;1.696;2.372
17;3.91;15.63;1.708;2.375
18;3.924;16.07;1.708;2.404
19;3.942;16.56;1.748;2.449
20;3.946;17.06;1.758;2.488
21;3.951;17.5;1.762;2.525
22;3.969;17.86;1.764;2.548
23;3.982;18.12;1.767;2.553
24;3.982;18.35;1.769;2.553
25;3.982;18.59;1.769;2.553
26;3.982;18.8;1.787;2.555
27;3.982;18.95;1.812;2.565
28;3.982;19.03;1.821;2.579
29;3.987;19.08;1.825;2.586
30;3.991;19.1;1.83;2.586
31;3.996;19.12;1.832;2.61
32;3.996;19.12;1.835;2.675
33;3.996;19.12;1.837;2.772
34;3.996;19.16;1.839;2.883
35;3.996;19.2;1.841;2.985
36;4.0;19.23;1.841;3.067
37;4.005;19.24;1.844;3.13
38;4.014;19.24;1.844;3.171
39;4.014;19.24;1.841;3.195
40;4.014;19.25;1.841;3.212
41;4.014;19.26;1.841;3.223
42;4.014;19.31;1.841;3.227
43;4.018;19.38;1.841;3.228
44;4.018;19.47;1.841;3.228
45;4.018;19.55;1.846;3.23
46;4.022;19.61;1.85;3.234
47;4.018;19.65;1.85;3.24
48;4.022;19.68;1.85;3.248
49;4.022;19.72;1.853;3.262
50;4.022;19.76;1.855;3.277
51;4.022;19.8;1.855;3.29
52;4.031;19.83;1.857;3.299
53;4.04;19.88;1.857;3.306
54;4.04;19.92;1.859;3.309
55;4.04;19.97;1.871;3.309
56;4.04;20.01;1.873;3.309
57;4.045;20.06;1.878;3.31
58;4.045;20.11;1.878;3.318
59;4.045;20.18;1.882;3.329
60;4.045;20.23;1.882;3.335
61;4.045;20.26;1.882;3.338
62;4.045;20.29;1.891;3.339
63;4.045;20.3;1.907;3.339
64;4.045;20.3;1.927;3.35
65;4.045;20.3;1.93;3.37
66;4.049;20.3;1.934;3.389
67;4.049;20.32;1.952;3.405
68;4.058;20.33;2.034;3.425
69;4.058;20.34;2.034;3.455
70;4.063;20.37;2.127;3.489
71;4.067;20.39;2.17;3.522
72;4.067;20.4;2.183;3.562
73;4.067;20.41;2.197;3.603
74;4.067;20.41;2.199;3.63
75;4.067;20.42;2.199;3.649
76;4.072;20.42;2.201;3.67
77;4.072;20.42;2.208;3.692
78;4.072;20.42;2.208;3.703
79;4.072;20.42;2.222;3.704
80;4.072;20.42;2.222;3.708
81;4.072;20.48;2.217;3.747
82;4.072;20.64;2.22;3.86
83;4.072;20.86;2.226;3.991
84;4.09;21.11;2.231;4.063
85;4.148;21.38;2.238;4.095
86;4.22;21.61;2.24;4.112
87;4.283;21.79;2.24;4.116
88;4.319;21.94;2.244;4.116
89;4.337;22.06;2.244;4.116
90;4.337;22.15;2.244;4.116
91;4.346;22.22;2.247;4.118
92;4.377;22.27;2.247;4.122
93;4.382;22.32;2.247;4.129
94;4.395;22.42;2.244;4.146
95;4.462;22.55;2.247;4.166
96;4.588;22.72;2.256;4.174
97;4.777;22.89;2.258;4.174
98;4.943;23.09;2.258;4.174
99;5.019;23.29;2.263;4.174
100;5.033;23.44;2.281;4.176
101;5.037;23.52;2.292;4.184
102;5.086;23.55;2.292;4.203
103;5.226;23.56;2.292;4.248
104;5.414;23.57;2.34;4.32
105;5.567;23.59;2.371;4.383
106;5.684;23.63;2.394;4.437
107;5.764;23.65;2.473;4.504
108;5.791;23.65;2.487;4.568
109;5.796;23.66;2.489;4.595
110;5.796;23.68;2.496;4.6
111;5.796;23.72;2.498;4.6
112;5.796;23.76;2.498;4.6
113;5.796;23.78;2.498;4.612
114;5.8;23.8;2.5;4.628
115;5.805;23.85;2.509;4.63
116;5.823;23.92;2.548;4.646
117;5.845;23.99;2.571;4.708
118;5.85;24.07;2.589;4.782
119;5.854;24.17;2.609;4.86
120;5.859;24.26;2.62;5.011
121;5.859;24.31;2.632;5.289
122;5.859;24.35;2.643;5.628
123;5.863;24.4;2.645;5.914
124;5.863;24.46;2.645;6.057
125;5.868;24.52;2.648;6.074
126;5.868;24.55;2.695;6.081
127;5.868;24.58;2.774;6.118
128;5.868;24.63;2.774;6.16
129;5.872;24.65;2.849;6.19
130;5.872;24.65;2.872;6.213
131;5.872;24.66;2.876;6.228
132;5.872;24.66;2.899;6.232
133;5.877;24.66;2.917;6.233
134;5.895;24.66;2.917;6.242
135;5.913;24.66;2.917;6.28
136;5.917;24.66;2.922;6.372
137;5.926;24.66;2.922;6.501
138;5.926;24.66;2.924;6.573
139;5.93;24.66;2.924;6.582
140;5.93;24.66;2.924;6.582
141;5.944;24.67;2.926;6.582
142;5.962;24.69;2.926;6.582
143;5.966;24.74;2.94;6.584
144;5.966;24.81;2.972;6.586
145;5.966;24.88;2.974;6.588
146;5.966;24.94;2.974;6.591
147;5.966;24.98;2.976;6.595
148;5.971;24.97;2.983;6.599
149;5.975;24.97;2.99;6.601
150;5.975;24.98;2.992;6.602
151;5.98;25.04;3.017;6.604
152;5.984;25.13;3.042;6.605
153;5.989;25.23;3.044;6.606
154;5.989;25.34;3.044;6.605
155;5.998;25.45;3.044;6.605
156;6.002;25.49;3.046;6.605
157;6.002;25.49;3.049;6.606
158;6.002;25.56;3.049;6.607
159;6.011;25.69;3.049;6.606
160;6.011;25.84;3.049;6.605
161;6.016;25.96;3.053;6.605
162;6.016;26.07;3.067;6.605
163;6.016;26.22;3.082;6.605
164;6.016;26.44;3.089;6.604
165;6.016;26.67;3.089;6.603
166;6.016;26.86;3.101;6.603
167;6.016;26.97;3.103;6.602
168;6.016;27.04;3.105;6.602
169;6.016;27.07;3.107;6.602
170;6.016;27.09;3.107;6.602
171;6.016;27.08;3.11;6.603
172;6.02;27.09;3.114;6.602
173;6.025;27.12;3.123;6.602
174;6.029;27.18;3.135;6.602
175;6.034;27.3;3.144;6.602
176;6.034;27.45;3.144;6.603
177;6.034;27.62;3.144;6.603
178;6.011;27.82;3.137;6.603
179;5.975;28.04;3.126;6.603
180;5.93;28.3;3.126;6.604
181;5.859;28.59;3.126;6.613
182;5.769;28.91;3.126;6.627
183;5.715;29.25;3.123;6.642
184;5.702;29.66;3.123;6.655
185;5.702;30.04;3.123;6.669
186;5.67;30.26;3.123;6.688
187;5.589;30.35;3.126;6.708
188;5.5;30.38;3.126;6.716
189;5.414;30.4;3.128;6.716
190;5.356;30.4;3.15;6.716
191;5.324;30.39;3.173;6.718
192;5.315;30.37;3.173;6.719
193;5.32;30.35;3.191;6.721
194;5.347;30.34;3.196;6.724
195;5.464;30.33;3.196;6.724
196;5.706;30.32;3.196;6.729
197;5.908;30.3;3.196;6.754
198;5.993;30.35;3.198;6.788
199;6.016;30.5;3.205;6.811
200;6.016;30.7;3.209;6.822
201;6.079;30.94;3.212;6.826
202;6.308;31.21;3.214;6.829
203;6.595;31.45;3.223;6.83
204;6.743;31.62;3.23;6.834
205;6.761;31.75;3.232;6.85
206;6.761;31.81;3.227;6.873
207;6.761;31.84;3.223;6.89
208;6.761;31.84;3.225;6.901
209;6.766;31.84;3.234;6.907
210;6.766;31.84;3.243;6.914
211;6.766;31.85;3.264;6.917
212;6.77;31.86;3.28;6.917
213;6.77;31.88;3.293;6.917
214;6.77;31.91;3.366;6.919
215;6.779;31.96;3.406;6.984
216;6.779;32.03;3.436;7.106
217;6.792;32.1;3.513;7.192
218;6.824;32.18;3.517;7.217
219;6.851;32.25;3.52;7.217
220;6.86;32.32;3.556;7.23
221;6.86;32.35;3.581;7.304
222;6.86;32.36;3.585;7.448
223;6.864;32.37;3.588;7.61
224;6.86;32.4;3.588;7.729
225;6.846;32.44;3.588;7.78
226;6.833;32.5;3.585;7.792
227;6.828;32.56;3.585;7.794
228;6.828;32.6;3.583;7.795
229;6.824;32.63;3.581;7.813
230;6.824;32.65;3.581;7.848
231;6.824;32.67;3.581;7.885
232;6.828;32.67;3.581;7.909
233;6.828;32.67;3.581;7.92
234;6.824;32.67;3.581;7.924
235;6.824;32.67;3.581;7.926
236;6.828;32.68;3.583;7.926
237;6.833;32.7;3.583;7.928
238;6.828;32.74;3.581;7.933
239;6.833;32.8;3.581;7.94
240;6.833;32.85;3.581;7.944
241;6.837;32.92;3.581;7.947
242;6.869;33.07;3.581;7.955
243;6.905;33.29;3.581;7.976
244;6.918;33.51;3.581;7.997
245;6.936;33.69;3.581;8.01
246;6.99;33.84;3.578;8.02
247;7.075;33.95;3.574;8.033
248;7.156;34.01;3.574;8.046
249;7.205;34.06;3.572;8.056
250;7.232;34.08;3.572;8.062
251;7.25;34.09;3.572;8.068
252;7.25;34.1;3.572;8.074
253;7.255;34.1;3.574;8.08
254;7.3;34.1;3.576;8.084
255;7.385;34.11;3.574;8.089
256;7.448;34.13;3.574;8.094
257;7.475;34.14;3.574;8.097
258;7.488;34.16;3.576;8.099
259;7.488;34.18;3.576;8.101
260;7.502;34.19;3.576;8.103
261;7.515;34.22;3.576;8.104
262;7.515;34.25;3.576;8.105
263;7.515;34.28;3.581;8.107
264;7.538;34.29;3.588;8.107
265;7.569;34.3;3.588;8.107
266;7.583;34.3;3.588;8.111
267;7.592;34.3;3.592;8.121
268;7.61;34.3;3.624;8.137
269;7.618;34.3;3.651;8.146
270;7.627;34.31;3.651;8.15
271;7.677;34.32;3.651;8.151
272;7.744;34.33;3.662;8.151
273;7.758;34.33;3.674;8.151
274;7.762;34.33;3.674;8.15
275;7.776;34.35;3.685;8.149
276;7.785;34.4;3.703;8.149
277;7.794;34.47;3.71;8.151
278;7.794;34.54;3.712;8.153
279;7.794;34.59;3.717;8.153
