;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;11.01;12.03;6.958;1.882
1;11.02;12.09;6.989;1.896
2;11.03;12.15;7.003;1.909
3;11.04;12.2;7.005;1.918
4;11.05;12.24;7.005;1.928
5;11.05;12.27;7.008;1.937
6;11.05;12.3;7.012;1.943
7;11.07;12.33;7.021;1.951
8;11.1;12.34;7.03;1.955
9;11.11;12.36;7.037;1.958
10;11.11;12.36;7.041;1.961
11;11.11;12.36;7.044;1.967
12;11.12;12.36;7.046;1.971
13;11.12;12.36;7.048;1.973
14;11.12;12.36;7.048;1.975
15;11.12;12.36;7.048;1.975
16;11.12;12.37;7.048;1.975
17;11.12;12.38;7.048;1.975
18;11.12;12.4;7.048;1.976
19;11.12;12.44;7.051;1.976
20;11.12;12.52;7.053;1.976
21;11.12;12.6;7.064;1.975
22;11.12;12.65;7.096;1.975
23;11.12;12.68;7.166;1.974
24;11.12;12.69;7.261;1.973
25;11.12;12.69;7.338;1.974
26;11.13;12.69;7.383;1.974
27;11.14;12.68;7.413;1.974
28;11.15;12.69;7.42;1.974
29;11.15;12.71;7.42;1.974
30;11.15;12.73;7.42;1.973
31;11.15;12.76;7.422;1.973
32;11.15;12.79;7.436;1.974
33;11.15;12.8;7.454;1.977
34;11.15;12.8;7.467;1.981
35;11.15;12.8;7.483;1.986
36;11.16;12.8;7.501;1.989
37;11.17;12.82;7.517;1.99
38;11.17;12.84;7.524;1.991
39;11.18;12.84;7.526;1.992
40;11.18;12.84;7.528;1.993
41;11.19;12.84;7.528;1.992
42;11.19;12.83;7.528;1.991
43;11.19;12.82;7.531;1.991
44;11.19;12.82;7.531;1.991
45;11.19;12.83;7.531;1.992
46;11.19;12.84;7.531;1.995
47;11.19;12.88;7.531;1.995
48;11.19;12.92;7.533;1.995
49;11.19;12.98;7.537;1.995
50;11.19;13.04;7.549;1.993
51;11.21;13.11;7.569;1.992
52;11.25;13.17;7.596;1.991
53;11.33;13.22;7.621;1.99
54;11.4;13.26;7.642;1.99
55;11.41;13.29;7.655;1.991
56;11.42;13.32;7.671;1.991
57;11.42;13.33;7.694;1.992
58;11.44;13.34;7.716;1.995
59;11.46;13.34;7.725;2.001
60;11.46;13.34;7.728;2.004
61;11.48;13.34;7.728;2.006
62;11.49;13.34;7.728;2.007
63;11.5;13.34;7.73;2.006
64;11.51;13.34;7.73;2.005
65;11.51;13.35;7.73;2.006
66;11.6;13.38;7.73;2.006
67;11.69;13.41;7.732;2.004
68;11.72;13.45;7.737;2.002
69;11.72;13.5;7.75;2.001
70;11.72;13.55;7.782;2.001
71;11.73;13.6;7.832;2.002
72;11.73;13.64;7.9;2.003
73;11.74;13.68;7.97;2.004
74;11.76;13.71;8.027;2.004
75;11.79;13.73;8.07;2.006
76;11.8;13.75;8.115;2.01
77;11.82;13.76;8.154;2.014
78;11.83;13.77;8.178;2.02
79;11.83;13.78;8.188;2.027
80;11.86;13.79;8.188;2.034
81;11.87;13.8;8.19;2.044
82;11.88;13.8;8.201;2.052
83;11.89;13.8;8.221;2.058
84;11.9;13.8;8.246;2.06
85;11.91;13.8;8.271;2.062
86;11.91;13.81;8.298;2.062
87;11.91;13.82;8.339;2.068
88;11.92;13.83;8.382;2.079
89;11.93;13.84;8.412;2.088
90;11.93;13.85;8.437;2.099
91;11.96;13.86;8.455;2.107
92;11.99;13.87;8.457;2.111
93;12.0;13.88;8.457;2.116
94;12.01;13.88;8.459;2.124
95;12.18;13.88;8.462;2.131
96;12.68;13.89;8.468;2.137
97;13.07;13.9;8.48;2.14
98;13.13;13.92;8.496;2.141
99;13.13;13.94;8.516;2.141
100;13.22;13.95;8.536;2.141
101;13.56;13.97;8.552;2.14
102;13.9;13.97;8.563;2.14
103;14.04;13.98;8.568;2.141
104;14.08;13.98;8.573;2.142
105;14.1;13.98;8.573;2.144
106;14.11;13.99;8.573;2.149
107;14.13;13.99;8.573;2.156
108;14.13;14.0;8.573;2.164
109;14.13;14.01;8.573;2.178
110;14.14;14.04;8.573;2.191
111;14.14;14.08;8.573;2.198
