;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.554;10.83;12.26;1.686
1;1.556;10.88;12.59;1.686
2;1.565;10.91;12.69;1.686
3;1.565;10.94;12.7;1.685
4;1.565;10.97;12.71;1.685
5;1.565;11.0;12.74;1.685
6;1.565;11.02;12.77;1.686
7;1.565;11.04;12.79;1.688
8;1.568;11.04;12.82;1.69
9;1.565;11.06;12.85;1.696
10;1.568;11.08;12.85;1.707
11;1.571;11.1;12.9;1.72
12;1.573;11.14;13.01;1.73
13;1.588;11.2;13.11;1.741
14;1.599;11.29;13.22;1.758
15;1.607;11.38;13.37;1.774
16;1.619;11.45;13.45;1.785
17;1.624;11.51;13.45;1.794
18;1.624;11.57;13.46;1.802
19;1.624;11.62;13.47;1.812
20;1.624;11.66;13.51;1.822
21;1.624;11.7;13.54;1.829
22;1.624;11.72;13.56;1.83
23;1.621;11.73;13.56;1.83
24;1.619;11.74;13.66;1.83
25;1.619;11.78;13.76;1.83
26;1.616;11.82;13.79;1.83
27;1.613;11.86;13.79;1.833
28;1.613;11.91;13.84;1.833
29;1.616;11.98;14.09;1.833
30;1.621;12.07;14.5;1.832
31;1.63;12.14;14.77;1.831
32;1.641;12.18;14.87;1.83
33;1.647;12.19;14.98;1.829
34;1.65;12.18;15.04;1.827
35;1.655;12.18;15.05;1.828
36;1.658;12.19;15.16;1.831
37;1.658;12.19;15.24;1.832
38;1.661;12.2;15.24;1.832
39;1.664;12.22;15.26;1.83
40;1.667;12.23;15.29;1.83
41;1.684;12.26;15.4;1.83
42;1.709;12.31;16.09;1.83
43;1.718;12.38;17.39;1.83
44;1.718;12.5;18.14;1.83
45;1.718;12.64;18.28;1.831
46;1.718;12.8;18.28;1.836
47;1.718;12.91;18.37;1.845
48;1.726;12.96;19.09;1.857
49;1.754;12.98;20.53;1.867
50;1.817;12.98;21.32;1.874
51;1.902;12.98;21.41;1.878
52;1.947;12.98;21.41;1.88
53;1.961;12.98;21.43;1.882
54;1.972;12.98;21.59;1.885
55;1.989;12.99;21.9;1.886
56;2.001;12.99;22.05;1.886
57;2.006;12.98;22.05;1.885
58;2.009;12.98;22.08;1.886
59;2.006;13.0;22.1;1.887
60;2.006;13.02;22.1;1.888
61;2.006;13.05;22.1;1.888
62;2.009;13.08;22.1;1.888
63;2.009;13.11;22.1;1.887
64;2.009;13.14;22.1;1.884
65;2.009;13.15;22.12;1.883
66;2.012;13.15;22.13;1.882
67;2.015;13.15;22.16;1.879
68;2.018;13.15;22.24;1.877
69;2.02;13.14;22.25;1.874
70;2.023;13.14;22.33;1.872
71;2.029;13.15;22.54;1.87
72;2.049;13.17;22.76;1.87
73;2.066;13.2;23.1;1.87
74;2.097;13.23;23.59;1.872
75;2.168;13.26;23.82;1.873
76;2.204;13.28;23.83;1.873
77;2.207;13.29;23.93;1.873
78;2.258;13.31;24.33;1.873
79;2.32;13.34;24.76;1.872
80;2.36;13.37;24.8;1.87
81;2.371;13.39;24.83;1.868
82;2.371;13.41;24.84;1.867
83;2.371;13.43;24.87;1.865
84;2.371;13.45;24.9;1.859
85;2.371;13.46;25.02;1.849
86;2.371;13.46;25.72;1.843
87;2.371;13.46;26.6;1.838
88;2.371;13.46;26.7;1.831
89;2.371;13.45;26.82;1.825
90;2.371;13.45;27.08;1.821
91;2.371;13.46;27.28;1.818
92;2.371;13.46;27.43;1.817
93;2.371;13.46;27.45;1.817
94;2.371;13.47;27.52;1.816
95;2.371;13.48;27.86;1.816
96;2.371;13.5;28.19;1.817
97;2.371;13.52;28.33;1.818
98;2.374;13.55;28.37;1.816
99;2.383;13.6;28.39;1.813
100;2.383;13.66;28.73;1.812
101;2.383;13.75;29.16;1.812
102;2.386;13.86;29.5;1.814
103;2.411;13.97;29.92;1.816
104;2.47;14.07;30.09;1.817
105;2.499;14.16;30.12;1.817
106;2.499;14.22;30.31;1.817
107;2.499;14.24;30.48;1.817
108;2.499;14.25;30.7;1.817
109;2.507;14.25;30.72;1.816
110;2.519;14.25;30.93;1.816
111;2.519;14.25;31.26;1.816
112;2.521;14.25;31.38;1.817
113;2.521;14.24;31.49;1.819
114;2.521;14.22;31.49;1.82
115;2.521;14.18;32.15;1.822
116;2.521;14.13;32.91;1.822
117;2.521;14.08;32.93;1.82
118;2.524;14.04;33.1;1.818
119;2.524;14.0;33.34;1.818
120;2.533;13.98;33.63;1.819
121;2.544;13.98;33.99;1.82
122;2.569;14.01;34.53;1.819
123;2.606;14.06;35.31;1.819
124;2.629;14.12;35.93;1.818
125;2.643;14.18;36.22;1.818
126;2.649;14.23;36.24;1.819
127;2.649;14.28;36.69;1.82
128;2.657;14.33;38.44;1.822
129;2.68;14.36;39.45;1.823
130;2.728;14.38;39.58;1.823
131;2.765;14.39;39.62;1.824
132;2.768;14.38;39.72;1.824
133;2.77;14.38;39.83;1.824
134;2.776;14.37;39.96;1.826
135;2.787;14.37;40.14;1.83
136;2.79;14.37;40.26;1.832
137;2.793;14.36;40.27;1.832
138;2.793;14.37;40.42;1.834
139;2.793;14.37;40.58;1.836
140;2.793;14.36;40.69;1.839
141;2.793;14.36;40.69;1.841
142;2.793;14.36;40.95;1.842
143;2.796;14.36;41.64;1.844
144;2.799;14.36;42.0;1.844
145;2.799;14.36;42.1;1.845
146;2.801;14.36;42.13;1.845
147;2.807;14.36;42.13;1.845
148;2.816;14.37;42.13;1.844
149;2.821;14.37;42.32;1.842
150;2.821;14.37;43.76;1.842
151;2.827;14.38;45.45;1.84
152;2.827;14.41;46.65;1.841
153;2.83;14.44;47.55;1.842
154;2.83;14.47;47.55;1.842
155;2.835;14.51;49.07;1.841
