;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.072;12.09;3.649;1.675
1;1.072;12.21;3.657;1.692
2;1.072;12.34;3.657;1.704
3;1.072;12.47;3.665;1.713
4;1.07;12.6;3.68;1.721
5;1.067;12.7;3.711;1.729
6;1.067;12.77;3.772;1.736
7;1.067;12.81;3.802;1.741
8;1.072;12.84;3.802;1.744
9;1.081;12.86;3.802;1.742
10;1.081;12.87;3.81;1.74
11;1.084;12.87;3.818;1.739
12;1.084;12.87;3.818;1.738
13;1.081;12.86;3.818;1.737
14;1.081;12.85;3.825;1.735
15;1.084;12.84;3.848;1.732
16;1.084;12.83;3.856;1.73
17;1.084;12.84;3.856;1.729
18;1.081;12.84;3.864;1.729
19;1.084;12.85;3.879;1.729
20;1.087;12.85;3.91;1.729
21;1.087;12.85;3.925;1.73
22;1.087;12.85;3.925;1.73
23;1.095;12.85;3.94;1.731
24;1.098;12.85;3.948;1.733
25;1.098;12.86;3.948;1.735
26;1.098;12.86;3.948;1.736
27;1.101;12.86;3.955;1.736
28;1.101;12.87;3.978;1.739
29;1.101;12.88;3.994;1.743
30;1.101;12.89;3.994;1.745
31;1.101;12.9;4.001;1.748
32;1.104;12.9;4.001;1.75
33;1.106;12.9;4.009;1.753
34;1.106;12.9;4.017;1.754
35;1.106;12.92;4.024;1.756
36;1.106;12.94;4.04;1.757
37;1.112;13.0;4.086;1.759
38;1.126;13.08;4.093;1.76
39;1.152;13.17;4.086;1.761
40;1.166;13.27;4.086;1.762
41;1.18;13.36;4.093;1.762
42;1.186;13.45;4.093;1.762
43;1.186;13.52;4.093;1.762
44;1.186;13.58;4.093;1.763
45;1.191;13.63;4.139;1.766
46;1.197;13.67;4.269;1.767
47;1.197;13.7;4.384;1.765
48;1.197;13.71;4.445;1.762
49;1.197;13.71;4.476;1.761
50;1.197;13.71;4.476;1.762
51;1.197;13.71;4.476;1.765
52;1.197;13.72;4.483;1.771
53;1.197;13.72;4.476;1.78
54;1.2;13.72;4.476;1.786
55;1.2;13.72;4.483;1.786
56;1.203;13.72;4.506;1.786
57;1.203;13.71;4.506;1.786
58;1.2;13.71;4.506;1.786
59;1.2;13.71;4.506;1.786
60;1.2;13.71;4.545;1.786
61;1.2;13.71;4.583;1.786
62;1.2;13.71;4.606;1.786
63;1.2;13.74;4.613;1.786
64;1.203;13.79;4.613;1.784
65;1.205;13.89;4.621;1.782
66;1.205;14.0;4.667;1.78
67;1.208;14.11;4.736;1.78
68;1.208;14.22;4.751;1.78
69;1.211;14.31;4.759;1.778
70;1.211;14.34;4.774;1.772
71;1.211;14.35;4.789;1.769
72;1.211;14.35;4.797;1.77
73;1.211;14.35;4.812;1.772
74;1.211;14.37;4.812;1.775
75;1.211;14.41;4.812;1.781
76;1.211;14.48;4.812;1.789
77;1.211;14.61;4.812;1.797
78;1.211;14.81;4.82;1.806
79;1.214;15.03;4.82;1.812
80;1.22;15.24;4.828;1.815
81;1.22;15.46;4.828;1.818
82;1.222;15.66;4.881;1.821
83;1.225;15.79;4.973;1.826
84;1.225;15.85;4.988;1.837
85;1.225;15.9;4.996;1.849
86;1.225;15.91;5.073;1.855
87;1.222;15.91;5.172;1.855
88;1.225;15.93;5.241;1.852
89;1.228;15.96;5.294;1.849
90;1.234;15.99;5.356;1.85
91;1.239;16.01;5.379;1.85
92;1.245;16.02;5.379;1.844
93;1.245;16.02;5.386;1.839
94;1.245;16.02;5.417;1.837
95;1.242;16.02;5.432;1.835
96;1.245;16.02;5.432;1.834
97;1.251;16.02;5.44;1.833
98;1.254;16.04;5.447;1.832
99;1.254;16.06;5.47;1.835
100;1.262;16.08;5.516;1.844
101;1.273;16.08;5.57;1.852
102;1.276;16.08;5.585;1.858
103;1.279;16.07;5.593;1.864
104;1.285;16.07;5.593;1.868
105;1.29;16.07;5.6;1.87
106;1.29;16.08;5.6;1.871
107;1.293;16.08;5.646;1.872
108;1.293;16.08;5.715;1.871
109;1.293;16.08;5.792;1.87
110;1.299;16.08;5.876;1.869
111;1.302;16.08;5.929;1.869
112;1.302;16.08;5.968;1.87
113;1.316;16.08;6.037;1.87
114;1.324;16.08;6.052;1.872
115;1.324;16.08;6.113;1.873
116;1.324;16.07;6.266;1.874
117;1.33;16.07;6.35;1.874
118;1.341;16.07;6.373;1.873
119;1.353;16.07;6.381;1.869
120;1.355;16.08;6.381;1.862
121;1.355;16.11;6.381;1.861
122;1.355;16.19;6.373;1.864
123;1.358;16.32;6.381;1.867
124;1.372;16.49;6.419;1.867
125;1.392;16.63;6.465;1.868
126;1.406;16.76;6.48;1.87
127;1.409;16.89;6.488;1.871
128;1.409;16.99;6.488;1.872
129;1.412;17.11;6.488;1.875
130;1.415;17.2;6.496;1.876
131;1.418;17.26;6.511;1.876
132;1.421;17.28;6.534;1.878
133;1.421;17.28;6.557;1.88
134;1.426;17.28;6.572;1.88
135;1.429;17.28;6.572;1.88
136;1.429;17.28;6.572;1.88
137;1.429;17.3;6.572;1.878
138;1.429;17.33;6.58;1.879
139;1.429;17.38;6.58;1.881
140;1.429;17.43;6.58;1.883
141;1.429;17.48;6.58;1.889
142;1.429;17.55;6.587;1.898
143;1.429;17.62;6.595;1.914
144;1.429;17.66;6.603;1.932
145;1.429;17.67;6.626;1.945
146;1.429;17.68;6.649;1.955
147;1.429;17.68;6.672;1.965
148;1.429;17.68;6.687;1.969
149;1.429;17.69;6.687;1.971
150;1.429;17.69;6.694;1.973
151;1.429;17.7;6.694;1.973
152;1.432;17.71;6.694;1.969
153;1.432;17.71;6.71;1.968
154;1.432;17.73;6.725;1.968
155;1.432;17.74;6.74;1.969
156;1.432;17.76;6.74;1.969
157;1.432;17.8;6.74;1.968
158;1.432;17.84;6.748;1.968
159;1.432;17.86;6.748;1.967
160;1.432;17.87;6.748;1.967
161;1.432;17.88;6.763;1.967
162;1.435;17.89;6.786;1.966
163;1.435;17.9;6.802;1.967
164;1.435;17.91;6.802;1.967
165;1.438;17.91;6.802;1.969
166;1.438;17.91;6.809;1.972
167;1.435;17.92;6.832;1.974
168;1.435;17.93;6.855;1.975
169;1.438;17.94;6.863;1.976
170;1.438;17.96;6.863;1.977
171;1.438;17.97;6.863;1.98
172;1.438;18.0;6.87;1.992
173;1.438;18.08;6.87;2.019
174;1.435;18.3;6.87;2.046
175;1.44;18.61;6.87;2.068
176;1.443;18.94;6.87;2.088
177;1.443;19.23;6.87;2.104
178;1.443;19.46;6.878;2.117
179;1.443;19.61;6.924;2.129
180;1.446;19.7;6.993;2.135
181;1.455;19.74;7.039;2.136
182;1.46;19.75;7.062;2.135
183;1.466;19.75;7.069;2.133
184;1.466;19.76;7.092;2.131
185;1.46;19.8;7.146;2.13
186;1.46;19.86;7.245;2.129
187;1.463;19.93;7.429;2.127
188;1.471;20.03;7.597;2.129
189;1.483;20.15;7.658;2.137
190;1.497;20.23;7.674;2.142
191;1.503;20.26;7.674;2.141
192;1.511;20.27;7.674;2.144
193;1.514;20.27;7.674;2.153
194;1.511;20.26;7.712;2.163
195;1.511;20.26;7.827;2.17
196;1.514;20.26;7.919;2.173
197;1.531;20.25;7.934;2.175
198;1.551;20.24;7.949;2.176
199;1.559;20.24;7.972;2.178
200;1.562;20.24;7.98;2.179
201;1.565;20.24;7.98;2.18
202;1.565;20.27;7.98;2.179
203;1.568;20.33;7.995;2.178
204;1.579;20.41;8.11;2.177
205;1.588;20.49;8.202;2.173
206;1.593;20.56;8.202;2.167
207;1.593;20.61;8.324;2.162
208;1.593;20.63;8.86;2.159
209;1.599;20.64;9.418;2.157
210;1.604;20.64;9.671;2.157
211;1.616;20.64;9.816;2.157
212;1.624;20.64;9.885;2.158
213;1.624;20.66;9.885;2.16
214;1.624;20.69;9.954;2.162
215;1.627;20.71;10.04;2.165
216;1.627;20.72;10.1;2.167
217;1.627;20.72;10.15;2.168
218;1.627;20.73;10.15;2.17
219;1.63;20.75;10.15;2.172
220;1.638;20.78;10.15;2.17
221;1.65;20.83;10.18;2.167
222;1.658;20.87;10.21;2.164
223;1.664;20.92;10.21;2.163
224;1.661;20.98;10.32;2.162
225;1.661;21.04;10.47;2.161
226;1.664;21.1;10.54;2.161
227;1.667;21.17;10.54;2.161
228;1.675;21.25;10.54;2.162
229;1.684;21.33;10.61;2.163
230;1.689;21.41;10.7;2.166
231;1.698;21.5;10.7;2.172
