;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.931;3.683;12.08;3.037
1;1.943;3.681;12.28;3.132
2;1.949;3.678;12.36;3.193
3;1.95;3.679;12.35;3.227
4;1.965;3.679;12.35;3.248
5;1.984;3.678;12.35;3.254
6;1.991;3.676;12.37;3.254
7;1.991;3.678;12.4;3.265
8;1.995;3.681;12.44;3.275
9;2.003;3.683;12.45;3.281
10;2.032;3.685;12.45;3.298
11;2.047;3.687;12.47;3.329
12;2.054;3.687;12.65;3.373
13;2.078;3.687;12.76;3.404
14;2.073;3.685;12.76;3.421
15;2.076;3.685;12.78;3.434
16;2.075;3.685;12.82;3.444
17;2.076;3.685;12.84;3.448
18;2.078;3.685;12.86;3.448
19;2.082;3.691;12.86;3.458
20;2.082;3.702;12.97;3.485
21;2.089;3.714;13.36;3.529
22;2.104;3.727;13.65;3.583
23;2.12;3.739;13.75;3.634
24;2.12;3.752;13.88;3.655
25;2.153;3.769;14.04;3.655
26;2.205;3.792;14.07;3.662
27;2.221;3.817;14.8;3.665
28;2.224;3.836;15.31;3.665
29;2.224;3.85;15.34;3.672
30;2.225;3.855;15.34;3.679
31;2.227;3.861;15.35;3.679
32;2.232;3.861;15.39;3.682
33;2.24;3.863;15.46;3.679
34;2.243;3.871;15.51;3.685
35;2.243;3.882;15.53;3.692
36;2.244;3.888;15.55;3.702
37;2.245;3.894;15.55;3.712
38;2.249;3.892;15.55;3.716
39;2.257;3.894;15.56;3.716
40;2.258;3.895;15.56;3.716
41;2.258;3.897;15.55;3.743
42;2.26;3.911;15.55;3.899
43;2.261;3.928;15.55;4.116
44;2.261;3.949;15.56;4.3
45;2.269;3.966;15.56;4.483
46;2.274;3.987;15.56;4.632
47;2.271;4.025;15.59;4.693
48;2.271;4.064;15.62;4.71
49;2.27;4.077;15.63;4.714
50;2.266;4.077;15.63;4.727
51;2.263;4.087;15.64;4.846
52;2.263;4.113;15.66;4.985
53;2.263;4.123;15.66;5.012
54;2.264;4.113;15.66;5.026
55;2.265;4.098;15.69;5.131
56;2.265;4.092;15.7;5.294
57;2.276;4.088;15.7;5.453
58;2.287;4.085;15.7;5.518
59;2.286;4.073;15.71;5.521
60;2.28;4.066;15.71;5.684
61;2.299;4.096;15.71;6.071
62;2.328;4.146;15.72;6.495
63;2.336;4.173;15.73;6.739
64;2.333;4.182;15.73;6.797
65;2.33;4.184;15.73;6.8
66;2.329;4.18;15.73;6.804
67;2.329;4.18;15.73;6.851
68;2.329;4.184;15.73;6.97
69;2.33;4.194;15.73;7.136
70;2.33;4.203;15.74;7.428
71;2.332;4.213;15.75;8.226
72;2.334;4.234;15.75;9.868
73;2.341;4.278;15.74;11.69
74;2.343;4.291;15.74;12.78
75;2.351;4.297;15.76;13.1
76;2.368;4.32;15.79;13.11
77;2.369;4.329;15.81;13.17
78;2.372;4.343;15.83;13.53
79;2.378;4.419;15.86;14.7
80;2.377;4.597;15.91;17.21
81;2.377;4.792;15.94;19.76
82;2.379;4.866;15.94;20.92
83;2.386;4.866;15.96;21.14
84;2.393;4.914;15.98;21.14
85;2.395;5.023;15.97;21.18
86;2.397;5.138;16.05;21.24
87;2.421;5.218;16.09;21.27
88;2.457;5.264;16.09;21.28
89;2.48;5.281;16.09;21.28
90;2.497;5.283;16.09;21.29
91;2.514;5.281;16.09;21.29
92;2.52;5.277;16.11;21.3
93;2.518;5.275;16.09;21.33
94;2.512;5.275;16.1;21.33
95;2.514;5.274;16.18;21.34
96;2.558;5.283;16.29;21.38
97;2.611;5.319;16.3;21.43
98;2.649;5.375;16.31;21.43
99;2.678;5.444;16.3;21.43
100;2.68;5.524;16.28;21.44
101;2.684;5.583;16.33;21.54
102;2.685;5.614;16.54;21.77
103;2.685;5.627;16.62;21.97
104;2.685;5.641;16.63;22.03
105;2.682;5.652;16.62;22.04
106;2.677;5.658;16.62;22.05
107;2.635;5.677;16.62;22.06
108;2.604;5.742;16.63;22.33
109;2.597;5.795;16.64;23.0
110;2.6;5.799;16.66;23.41
111;2.607;5.799;16.66;23.46
112;2.602;5.816;16.79;23.46
113;2.611;5.87;16.96;23.49
114;2.614;5.958;16.95;23.55
115;2.615;6.061;16.92;23.65
116;2.619;6.139;17.09;23.75
117;2.628;6.151;17.33;23.82
118;2.66;6.157;17.34;23.83
119;2.696;6.166;17.38;23.83
120;2.706;6.166;17.42;23.83
121;2.703;6.176;17.39;23.85
122;2.722;6.189;17.34;23.91
123;2.736;6.206;17.29;24.02
124;2.741;6.216;17.26;24.09
125;2.763;6.216;17.24;24.11
126;2.757;6.225;17.23;24.11
127;2.751;6.231;17.23;24.19
128;2.761;6.233;17.22;24.33
129;2.782;6.233;17.22;24.5
130;2.793;6.237;17.22;24.65
131;2.798;6.25;17.2;24.77
132;2.802;6.285;17.2;24.8
133;2.811;6.338;17.21;24.81
134;2.827;6.373;17.26;24.81
135;2.831;6.38;17.27;24.82
136;2.831;6.382;17.27;24.82
137;2.833;6.384;17.27;24.83
138;2.831;6.386;17.27;24.84
139;2.831;6.39;17.27;24.85
140;2.831;6.39;17.3;24.85
141;2.832;6.388;17.29;24.86
142;2.868;6.39;17.22;24.87
143;2.901;6.396;17.19;24.87
144;2.903;6.403;17.19;24.88
145;2.906;6.409;17.19;24.9
146;2.92;6.409;17.19;24.9
147;2.962;6.415;17.19;24.9
148;2.976;6.44;17.2;24.9
149;2.99;6.487;17.2;24.9
150;3.043;6.547;17.22;24.93
151;3.066;6.619;17.27;24.96
152;3.071;6.713;17.27;24.96
153;3.071;6.778;17.31;24.96
154;3.073;6.787;17.41;24.96
155;3.124;6.787;17.5;24.96
156;3.475;6.789;17.52;24.96
157;4.019;6.789;17.51;24.97
158;4.401;6.789;17.5;24.97
159;4.491;6.789;17.5;25.0
160;4.492;6.789;17.51;25.02
161;4.493;6.791;17.51;25.02
162;4.495;6.789;17.5;25.03
163;4.496;6.787;17.5;25.08
164;4.523;6.789;17.53;25.21
165;4.587;6.789;17.58;25.32
166;4.596;6.793;17.62;25.35
167;4.612;6.793;17.62;25.36
168;4.764;6.793;17.62;25.37
169;4.97;6.803;17.62;25.48
170;5.031;6.816;17.62;25.68
171;5.043;6.818;17.62;25.79
172;5.084;6.858;17.62;25.79
173;5.121;6.889;17.61;25.8
174;5.132;6.889;17.58;25.81
175;5.165;6.891;17.54;25.85
176;5.229;6.893;17.45;25.99
177;5.239;6.914;17.37;26.2
178;5.244;6.929;17.38;26.38
179;5.244;6.929;17.38;26.54
180;5.244;6.927;17.39;26.68
181;5.248;6.927;17.43;26.82
182;5.25;6.929;17.44;27.01
183;5.254;6.927;17.43;27.36
184;5.265;6.935;17.43;27.94
185;5.27;6.948;17.42;28.52
186;5.271;6.948;17.4;28.73
187;5.281;7.038;17.39;28.75
188;5.291;7.145;17.39;28.81
189;5.291;7.17;17.41;29.09
190;5.291;7.17;17.44;29.36
191;5.292;7.179;17.41;29.42
192;5.297;7.181;17.37;29.42
193;5.307;7.181;17.38;29.57
194;5.312;7.179;17.4;30.21
195;5.312;7.191;17.39;31.05
196;5.317;7.237;17.39;31.59
197;5.315;7.303;17.42;31.84
198;5.318;7.378;17.59;31.96
199;5.319;7.451;17.65;32.0
200;5.319;7.519;17.64;32.0
201;5.319;7.571;17.61;32.0
202;5.319;7.577;17.58;32.01
203;5.319;7.563;17.6;32.07
204;5.32;7.565;17.63;32.24
205;5.327;7.588;17.68;32.46
206;5.338;7.609;17.7;32.61
207;5.338;7.623;17.68;32.69
208;5.358;7.628;17.83;32.72
209;5.391;7.63;18.14;32.73
210;5.415;7.623;18.27;32.73
211;5.415;7.617;18.28;32.73
212;5.431;7.609;18.48;32.75
213;5.445;7.607;18.59;32.75
214;5.444;7.64;18.57;32.85
215;5.451;7.669;18.56;32.91
216;5.46;7.663;18.57;32.92
217;5.472;7.655;18.59;33.07
218;5.483;7.663;18.6;33.32
219;5.491;7.672;18.61;33.49
220;5.497;7.67;18.61;33.51
221;5.5;7.67;18.61;33.52
222;5.499;7.67;18.61;33.53
223;5.5;7.669;18.62;33.53
224;5.508;7.672;18.62;33.56
225;5.513;7.676;18.62;33.72
226;5.519;7.676;18.62;33.98
227;5.527;7.688;18.62;34.09
228;5.534;7.693;18.62;34.12
229;5.534;7.693;18.62;34.13
230;5.539;7.693;18.62;34.13
231;5.544;7.705;18.62;34.14
232;5.545;7.753;18.62;34.15
233;5.545;7.835;18.63;34.16
234;5.549;7.925;18.63;34.16
235;5.564;7.986;18.64;34.16
236;5.596;8.005;18.72;34.18
237;5.627;8.007;18.76;34.19
238;5.63;8.007;18.78;34.2
239;5.637;8.011;18.83;34.2
240;5.657;8.016;18.83;34.2
241;5.676;8.024;18.83;34.26
242;5.682;8.036;18.81;34.35
243;5.686;8.037;18.83;34.37
244;5.708;8.037;18.86;34.37
245;5.714;8.041;18.85;34.37
246;5.713;8.045;18.85;34.38
247;5.717;8.047;18.86;34.39
248;5.722;8.047;18.86;34.39
249;5.722;8.047;18.86;34.4
250;5.721;8.047;18.86;34.4
251;5.727;8.047;18.84;34.46
252;5.739;8.047;18.83;34.7
253;5.742;8.047;18.86;35.06
254;5.742;8.047;18.96;35.32
255;5.744;8.06;19.04;35.46
256;5.746;8.112;19.04;35.52
257;5.746;8.185;19.05;35.52
258;5.749;8.257;19.12;35.56
259;5.751;8.318;19.17;35.64
260;5.751;8.359;19.17;35.64
261;5.752;8.372;19.17;35.73
262;5.752;8.372;19.17;36.08
263;5.766;8.374;19.18;36.56
264;5.78;8.374;19.18;36.86
265;5.78;8.397;19.18;36.94
266;5.784;8.424;19.2;36.94
267;5.784;8.446;19.23;36.98
268;5.784;8.473;19.22;37.12
269;5.789;8.477;19.21;37.27
270;5.792;8.477;19.21;37.35
271;5.792;8.477;19.21;37.42
