;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.151;3.777;12.06;1.581
1;1.152;3.773;12.07;1.585
2;1.155;3.771;12.07;1.595
3;1.161;3.769;12.07;1.598
4;1.162;3.767;12.08;1.598
5;1.162;3.767;12.08;1.598
6;1.175;3.769;12.08;1.598
7;1.199;3.771;12.1;1.598
8;1.213;3.775;12.12;1.598
9;1.218;3.783;12.12;1.608
10;1.218;3.792;12.12;1.653
11;1.219;3.796;12.13;1.707
12;1.219;3.8;12.12;1.737
13;1.219;3.804;12.12;1.754
14;1.219;3.811;12.14;1.758
15;1.22;3.817;12.16;1.758
16;1.222;3.819;12.18;1.758
17;1.228;3.821;12.21;1.771
18;1.231;3.819;12.28;1.802
19;1.231;3.817;12.36;1.853
20;1.231;3.815;12.42;1.931
21;1.24;3.813;12.47;1.995
22;1.257;3.809;12.48;2.016
23;1.273;3.808;12.48;2.016
24;1.275;3.808;12.55;2.019
25;1.284;3.809;12.6;2.023
26;1.314;3.808;12.65;2.026
27;1.324;3.808;12.7;2.043
28;1.324;3.811;12.74;2.107
29;1.326;3.825;12.74;2.246
30;1.327;3.838;12.74;2.447
31;1.328;3.851;12.75;2.637
32;1.328;3.861;12.77;2.755
33;1.332;3.861;12.79;2.817
34;1.334;3.859;12.82;2.844
35;1.335;3.855;12.84;2.851
36;1.335;3.855;12.88;2.851
37;1.347;3.861;13.02;2.861
38;1.359;3.869;13.19;2.874
39;1.36;3.876;13.22;2.895
40;1.364;3.878;13.22;2.922
41;1.365;3.88;13.23;2.949
42;1.377;3.88;13.24;2.962
43;1.385;3.876;13.27;2.976
44;1.387;3.874;13.4;2.986
45;1.387;3.871;13.47;2.99
46;1.387;3.865;13.48;2.99
47;1.39;3.863;13.49;2.99
48;1.39;3.865;13.54;2.986
49;1.395;3.865;13.6;2.993
50;1.398;3.867;13.63;3.017
51;1.399;3.869;13.65;3.044
52;1.406;3.873;13.65;3.064
53;1.406;3.874;13.66;3.074
54;1.408;3.874;13.68;3.074
55;1.409;3.874;13.69;3.085
56;1.411;3.874;13.7;3.115
57;1.417;3.876;13.72;3.176
58;1.419;3.882;13.74;3.258
59;1.419;3.886;13.75;3.329
60;1.418;3.886;13.76;3.38
61;1.418;3.882;13.75;3.407
62;1.419;3.878;13.72;3.414
63;1.418;3.874;13.66;3.414
64;1.419;3.873;13.63;3.421
65;1.418;3.871;13.62;3.431
66;1.417;3.871;13.63;3.448
67;1.421;3.871;13.65;3.465
68;1.428;3.871;13.69;3.478
69;1.424;3.869;13.71;3.488
70;1.425;3.869;13.71;3.499
71;1.425;3.867;13.68;3.505
72;1.425;3.863;13.63;3.512
73;1.424;3.861;13.6;3.512
74;1.428;3.859;13.6;3.516
75;1.43;3.855;13.64;3.516
76;1.43;3.853;13.66;3.522
77;1.43;3.853;13.67;3.536
78;1.43;3.853;13.65;3.543
79;1.43;3.853;13.61;3.543
