;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;1.349;12.01;6.64;1.583
1;1.348;12.02;6.643;1.582
2;1.341;12.03;6.643;1.581
3;1.336;12.04;6.646;1.579
4;1.335;12.05;6.693;1.579
5;1.335;12.06;6.837;1.579
6;1.336;12.07;6.868;1.577
7;1.336;12.09;6.881;1.575
8;1.338;12.11;6.887;1.573
9;1.338;12.13;6.953;1.567
10;1.338;12.16;7.178;1.563
11;1.337;12.21;7.451;1.561
12;1.337;12.26;7.758;1.56
13;1.338;12.32;7.961;1.561
14;1.337;12.39;8.027;1.564
15;1.341;12.49;8.105;1.568
16;1.348;12.7;8.199;1.572
17;1.355;13.01;8.199;1.577
18;1.357;13.3;8.368;1.584
19;1.358;13.51;8.522;1.591
20;1.358;13.67;8.522;1.596
21;1.36;13.78;8.725;1.597
22;1.367;13.85;9.236;1.598
23;1.37;13.9;9.587;1.602
24;1.37;13.92;9.612;1.606
25;1.37;13.92;9.715;1.608
26;1.37;13.92;10.05;1.605
27;1.371;13.91;10.31;1.602
28;1.374;13.91;10.34;1.6
29;1.373;13.92;10.36;1.599
30;1.37;13.95;10.4;1.6
31;1.367;14.0;10.4;1.605
32;1.367;14.06;10.42;1.611
33;1.367;14.16;10.44;1.62
34;1.367;14.33;10.48;1.636
35;1.367;14.53;10.55;1.654
36;1.366;14.76;10.59;1.664
37;1.364;14.98;10.59;1.666
38;1.366;15.05;10.6;1.669
39;1.364;15.05;10.61;1.673
40;1.364;15.1;10.61;1.675
41;1.364;15.16;10.64;1.675
42;1.364;15.22;10.75;1.676
43;1.364;15.27;10.83;1.676
44;1.367;15.29;10.86;1.676
45;1.371;15.3;10.86;1.675
46;1.374;15.31;10.93;1.675
47;1.375;15.31;11.08;1.674
48;1.375;15.31;11.24;1.672
49;1.376;15.31;11.35;1.67
50;1.376;15.32;11.37;1.668
51;1.376;15.33;11.38;1.667
52;1.377;15.35;11.38;1.667
53;1.377;15.36;11.43;1.667
54;1.377;15.36;11.57;1.666
55;1.379;15.38;11.64;1.666
56;1.38;15.43;11.65;1.666
57;1.381;15.48;11.73;1.666
58;1.387;15.5;11.79;1.667
59;1.394;15.51;11.89;1.668
60;1.397;15.51;12.03;1.67
61;1.397;15.5;12.06;1.673
62;1.397;15.51;12.07;1.676
63;1.4;15.52;12.13;1.677
64;1.405;15.56;12.18;1.677
65;1.408;15.62;12.18;1.678
66;1.408;15.7;12.26;1.678
67;1.406;15.79;12.61;1.678
68;1.403;15.88;13.17;1.678
69;1.403;15.97;13.43;1.679
70;1.405;16.05;13.45;1.679
71;1.407;16.14;13.46;1.679
72;1.412;16.23;13.53;1.681
73;1.416;16.3;13.67;1.682
74;1.418;16.36;13.74;1.681
75;1.413;16.42;13.75;1.68
76;1.413;16.46;13.76;1.681
77;1.416;16.5;13.77;1.684
78;1.421;16.53;13.77;1.689
79;1.423;16.54;13.77;1.695
80;1.434;16.54;13.79;1.698
81;1.461;16.54;13.79;1.699
82;1.483;16.54;13.8;1.7
83;1.486;16.55;13.8;1.7
84;1.484;16.56;13.83;1.7
85;1.481;16.57;13.83;1.7
86;1.481;16.58;13.83;1.7
87;1.48;16.59;13.84;1.7
88;1.478;16.61;13.85;1.701
89;1.48;16.63;13.89;1.703
90;1.483;16.65;13.94;1.709
91;1.484;16.68;14.02;1.72
92;1.49;16.7;14.13;1.732
93;1.496;16.72;14.19;1.739
94;1.5;16.74;14.19;1.742
95;1.503;16.77;14.33;1.745
96;1.504;16.8;14.71;1.748
97;1.505;16.85;15.04;1.751
98;1.508;16.91;15.09;1.755
99;1.51;16.98;15.09;1.756
100;1.504;17.04;15.1;1.757
101;1.496;17.07;15.1;1.757
102;1.485;17.09;15.1;1.757
103;1.465;17.1;15.1;1.758
104;1.445;17.11;15.11;1.758
105;1.435;17.13;15.11;1.757
106;1.423;17.13;15.11;1.756
107;1.414;17.13;15.12;1.756
108;1.416;17.13;15.16;1.756
109;1.403;17.13;15.22;1.756
110;1.384;17.14;15.29;1.756
111;1.369;17.14;15.3;1.756
112;1.352;17.14;15.35;1.755
113;1.337;17.16;15.53;1.755
114;1.326;17.2;15.58;1.755
115;1.317;17.27;15.62;1.754
116;1.312;17.32;15.7;1.754
117;1.31;17.33;15.78;1.753
118;1.305;17.34;15.99;1.752
119;1.303;17.34;16.2;1.752
120;1.305;17.34;16.25;1.752
121;1.306;17.34;16.25;1.753
122;1.309;17.34;16.26;1.754
123;1.313;17.34;16.26;1.756
124;1.321;17.34;16.32;1.758
125;1.325;17.36;16.5;1.763
126;1.33;17.37;16.56;1.769
127;1.335;17.39;16.57;1.775
128;1.336;17.4;16.73;1.777
129;1.336;17.41;16.9;1.777
130;1.336;17.41;16.95;1.776
131;1.336;17.41;16.96;1.777
132;1.337;17.43;16.96;1.776
133;1.338;17.45;16.96;1.777
134;1.338;17.48;16.97;1.783
135;1.338;17.52;16.97;1.801
136;1.338;17.56;16.98;1.827
137;1.341;17.6;16.98;1.851
138;1.342;17.63;17.02;1.868
139;1.344;17.64;17.06;1.883
140;1.349;17.64;17.07;1.897
141;1.349;17.64;17.08;1.907
142;1.35;17.64;17.09;1.912
143;1.35;17.65;17.09;1.913
144;1.352;17.66;17.1;1.913
145;1.351;17.67;17.12;1.913
146;1.352;17.69;17.25;1.913
147;1.352;17.69;17.42;1.912
148;1.352;17.69;17.47;1.913
149;1.352;17.69;17.47;1.913
150;1.354;17.69;17.61;1.913
151;1.355;17.69;18.1;1.914
152;1.354;17.7;18.62;1.914
153;1.354;17.7;18.8;1.913
154;1.354;17.7;18.8;1.913
155;1.356;17.71;18.81;1.913
156;1.361;17.72;18.81;1.913
157;1.362;17.72;18.82;1.913
158;1.364;17.72;18.88;1.913
159;1.375;17.72;18.97;1.913
160;1.399;17.72;19.1;1.913
161;1.412;17.72;19.29;1.912
162;1.412;17.72;19.42;1.912
163;1.412;17.72;19.48;1.911
164;1.413;17.72;19.54;1.911
165;1.413;17.72;19.54;1.912
166;1.413;17.72;19.56;1.913
167;1.418;17.73;19.58;1.914
168;1.432;17.73;19.61;1.914
169;1.439;17.74;19.67;1.914
170;1.439;17.75;19.72;1.914
171;1.45;17.75;19.72;1.914
172;1.485;17.75;19.72;1.914
173;1.531;17.76;19.74;1.914
174;1.549;17.76;19.77;1.914
175;1.547;17.76;19.77;1.914
176;1.542;17.76;19.84;1.914
177;1.543;17.76;19.9;1.914
178;1.545;17.76;19.9;1.914
179;1.55;17.76;19.93;1.915
180;1.557;17.77;20.01;1.917
181;1.562;17.77;20.09;1.922
182;1.563;17.77;20.13;1.924
183;1.564;17.77;20.15;1.924
184;1.567;17.77;20.16;1.924
185;1.568;17.77;20.16;1.924
186;1.569;17.77;20.16;1.923
187;1.573;17.77;20.16;1.923
188;1.573;17.78;20.16;1.925
189;1.571;17.8;20.17;1.927
190;1.573;17.83;20.18;1.928
191;1.577;17.9;20.18;1.931
192;1.578;17.97;20.19;1.935
193;1.58;18.05;20.2;1.936
194;1.586;18.13;20.2;1.937
195;1.588;18.18;20.31;1.938
196;1.588;18.21;20.55;1.94
197;1.589;18.22;20.71;1.942
198;1.59;18.22;20.73;1.942
199;1.588;18.22;20.75;1.942
200;1.587;18.22;20.9;1.942
201;1.588;18.22;21.12;1.942
202;1.588;18.23;21.16;1.943
203;1.588;18.25;21.18;1.943
204;1.59;18.27;21.21;1.943
205;1.59;18.31;21.22;1.942
206;1.595;18.33;21.23;1.941
207;1.595;18.36;21.25;1.938
208;1.597;18.37;21.25;1.937
209;1.601;18.39;21.27;1.938
210;1.6;18.4;21.27;1.939
211;1.594;18.4;21.27;1.939
212;1.594;18.41;21.29;1.939
213;1.597;18.42;21.38;1.939
214;1.6;18.44;21.43;1.94
215;1.606;18.46;21.43;1.942
216;1.614;18.48;21.43;1.942
217;1.612;18.5;21.43;1.942
218;1.61;18.51;21.44;1.942
219;1.61;18.52;21.45;1.942
220;1.616;18.52;21.46;1.945
221;1.626;18.52;21.49;1.946
222;1.634;18.51;21.66;1.947
223;1.641;18.51;21.83;1.947
224;1.644;18.5;21.91;1.947
225;1.645;18.5;21.97;1.947
226;1.655;18.5;21.98;1.948
227;1.678;18.5;22.1;1.949
228;1.717;18.5;22.47;1.949
229;1.757;18.5;22.7;1.949
230;1.784;18.5;22.74;1.95
231;1.807;18.51;22.74;1.95
232;1.818;18.51;22.88;1.95
233;1.818;18.52;23.1;1.95
234;1.822;18.53;23.13;1.95
235;1.831;18.54;23.15;1.951
236;1.859;18.54;23.16;1.951
237;1.906;18.54;23.16;1.951
238;1.93;18.54;23.19;1.951
239;1.939;18.54;23.23;1.952
240;1.949;18.54;23.24;1.953
241;1.951;18.54;23.24;1.953
242;1.951;18.54;23.24;1.953
243;1.951;18.55;23.26;1.955
244;1.955;18.54;23.31;1.957
245;1.956;18.54;23.32;1.958
246;1.96;18.52;23.32;1.958
247;1.964;18.51;23.35;1.958
248;1.965;18.5;23.4;1.959
249;1.967;18.48;23.41;1.96
250;1.969;18.47;23.42;1.964
251;1.969;18.46;23.45;1.968
252;1.981;18.45;23.46;1.972
253;1.994;18.44;23.46;1.979
254;2.0;18.43;23.46;1.985
255;2.004;18.44;23.47;1.99
256;2.006;18.45;23.52;1.997
257;2.006;18.48;23.59;2.005
258;2.006;18.5;23.6;2.014
259;2.007;18.52;23.61;2.024
260;2.009;18.54;23.63;2.033
261;2.013;18.57;23.68;2.043
262;2.019;18.59;23.7;2.053
263;2.031;18.59;23.73;2.06
264;2.045;18.59;23.88;2.067
265;2.054;18.6;23.99;2.072
266;2.058;18.6;24.05;2.075
267;2.068;18.6;24.49;2.076
268;2.08;18.6;24.68;2.076
269;2.08;18.59;24.68;2.076
270;2.08;18.59;24.68;2.076
271;2.086;18.59;24.68;2.076
272;2.086;18.59;24.68;2.077
273;2.109;18.58;24.68;2.082
274;2.123;18.58;24.71;2.088
275;2.123;18.58;24.78;2.094
276;2.123;18.59;24.83;2.105
277;2.123;18.59;24.86;2.113
278;2.124;18.59;24.91;2.118
279;2.128;18.59;24.99;2.127
280;2.138;18.59;25.07;2.137
