;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;6.687;2.926;1.042;12.06
1;6.749;3.056;1.053;12.6
2;6.91;3.185;1.112;13.38
3;6.921;3.25;1.156;13.85
4;7.173;3.271;1.172;13.98
5;7.607;3.27;1.18;13.98
6;7.8;3.294;1.186;14.07
7;7.909;3.322;1.192;14.29
8;8.078;3.327;1.208;14.49
9;8.235;3.327;1.23;14.66
10;8.258;3.327;1.241;14.99
11;8.258;3.327;1.245;15.6
12;8.273;3.33;1.246;16.14
13;8.365;3.331;1.246;16.28
14;8.438;3.342;1.246;16.28
15;8.457;3.348;1.246;16.28
16;8.457;3.348;1.248;16.28
17;8.457;3.363;1.249;16.32
18;8.468;3.426;1.25;16.37
19;8.526;3.473;1.252;16.37
20;8.573;3.477;1.252;16.42
21;8.573;3.483;1.252;16.42
22;8.577;3.524;1.252;16.92
23;8.601;3.58;1.255;18.42
24;8.611;3.584;1.262;19.24
25;8.759;3.626;1.266;19.26
26;8.836;3.741;1.271;19.34
27;8.84;3.821;1.274;19.44
28;8.84;3.902;1.274;19.5
29;8.84;4.042;1.277;19.59
30;8.849;4.123;1.278;19.69
31;8.851;4.125;1.277;19.7
32;8.891;4.129;1.285;20.1
33;8.956;4.129;1.306;20.41
34;8.964;4.135;1.323;20.42
35;8.964;4.174;1.349;20.73
36;8.964;4.25;1.387;20.98
37;8.968;4.296;1.413;21.03
38;8.973;4.296;1.46;21.03
39;9.05;4.343;1.557;21.04
40;9.12;4.42;1.573;21.08
41;9.191;4.445;1.618;21.25
42;9.322;4.45;1.711;21.41
43;9.349;4.45;1.749;21.43
44;9.379;4.451;1.77;21.58
45;9.384;4.453;1.782;22.37
46;9.431;4.462;1.782;23.6
47;9.452;4.495;1.782;24.65
48;9.454;4.542;1.783;25.61
49;9.54;4.594;1.784;26.51
50;10.14;4.6;1.788;26.63
51;10.95;4.81;1.79;27.5
52;11.74;5.588;1.8;30.36
53;12.17;6.112;1.809;31.71
54;12.22;6.193;1.814;31.75
55;13.3;6.198;1.833;31.81
56;14.02;6.28;1.834;31.89
57;14.07;6.426;1.834;31.94
58;14.08;6.554;1.843;31.96
59;14.18;6.637;1.852;31.98
60;14.27;6.691;1.852;32.07
61;14.28;6.729;1.853;32.09
62;14.28;6.761;1.859;32.1
63;14.28;6.801;1.874;32.15
64;14.28;6.849;1.883;32.2
65;14.29;6.864;1.884;32.29
66;14.29;6.869;1.884;32.44
67;14.35;6.916;1.887;32.47
68;14.36;6.992;1.892;32.53
69;14.4;7.057;1.895;32.81
70;14.4;7.075;1.897;33.06
71;14.5;7.081;1.898;33.18
72;14.63;7.105;1.898;33.2
73;14.65;7.111;1.898;33.21
74;14.65;7.126;1.914;33.22
75;14.65;7.15;1.944;33.25
76;14.66;7.157;1.953;33.4
77;14.66;7.158;1.96;33.65
78;14.66;7.16;1.998;33.79
79;14.66;7.164;2.055;33.89
80;14.66;7.169;2.112;34.1
81;14.66;7.227;2.19;34.51
82;14.66;7.297;2.23;34.7
83;14.68;7.31;2.231;34.78
84;14.71;7.31;2.232;35.61
85;14.72;7.31;2.233;36.49
86;14.72;7.327;2.233;36.99
87;14.72;7.349;2.237;37.36
88;14.72;7.37;2.253;37.65
89;14.72;7.399;2.27;37.77
90;14.74;7.423;2.282;37.78
91;14.78;7.43;2.307;37.79
92;14.79;7.43;2.311;37.79
93;14.79;7.44;2.333;37.8
94;14.85;7.462;2.35;37.81
95;15.07;7.525;2.356;37.98
96;15.24;7.647;2.408;38.5
97;15.32;7.744;2.441;38.68
98;15.47;7.768;2.442;38.68
99;15.53;7.768;2.454;38.72
100;15.6;7.778;2.467;38.74
101;15.76;7.78;2.467;38.76
102;15.77;7.858;2.477;39.03
103;15.77;7.939;2.489;39.25
104;15.79;7.941;2.562;39.28
105;15.8;7.965;2.719;39.29
106;15.85;7.986;2.743;39.29
107;15.88;7.992;2.76;39.42
108;15.89;8.114;2.83;40.41
109;15.9;8.255;2.866;41.53
110;15.92;8.263;2.873;41.73
111;15.92;8.328;2.911;41.73
112;16.0;8.481;3.052;41.76
113;16.03;8.576;3.24;41.79
114;16.22;8.606;3.351;41.83
115;16.36;8.617;3.387;41.86
116;16.36;8.618;3.401;41.89
117;16.47;8.62;3.405;41.91
118;16.5;8.629;3.406;41.91
119;16.84;8.641;3.41;41.91
120;17.06;8.648;3.41;41.91
121;17.06;8.654;3.41;41.91
122;17.22;8.674;3.41;41.93
123;18.04;8.719;3.412;42.04
124;18.31;8.751;3.421;42.45
125;18.33;8.766;3.423;43.04
126;18.35;8.793;3.423;43.56
127;18.35;8.821;3.428;44.06
