;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;3.061;0.9745;12.25;0.6085
1;3.101;0.9815;12.76;0.6101
2;3.572;0.9819;13.45;0.6146
3;3.683;0.9776;14.15;0.617
4;3.856;0.9905;14.62;0.6183
5;3.945;0.9963;14.84;0.6208
6;3.971;1.001;14.86;0.6316
7;3.971;1.01;15.0;0.6459
8;4.046;1.015;15.56;0.6509
9;4.104;1.015;15.92;0.6512
10;4.123;1.015;16.07;0.6507
11;4.161;1.015;16.25;0.6507
12;4.404;1.016;16.46;0.6511
13;4.451;1.017;16.59;0.6532
14;4.461;1.017;16.66;0.6562
15;4.463;1.019;16.67;0.6594
16;4.47;1.02;16.74;0.6626
17;4.475;1.02;17.12;0.6628
18;4.712;1.021;18.15;0.6649
19;4.983;1.026;19.81;0.6681
20;4.99;1.033;21.08;0.6697
21;5.096;1.055;21.59;0.6786
22;5.098;1.085;21.7;0.7004
23;5.101;1.109;21.7;0.7223
24;5.101;1.127;21.73;0.7427
25;5.103;1.13;21.76;0.7561
26;5.11;1.131;21.81;0.7582
27;5.201;1.136;21.98;0.7582
28;5.309;1.147;22.27;0.7583
29;5.319;1.163;22.58;0.7594
30;5.452;1.17;22.84;0.7622
31;5.476;1.17;22.96;0.7622
32;5.476;1.171;22.97;0.7614
33;5.487;1.174;23.0;0.7606
34;5.509;1.182;23.07;0.7601
35;5.506;1.19;23.21;0.7623
36;5.506;1.195;23.53;0.768
37;5.511;1.197;23.84;0.7717
38;5.532;1.197;23.95;0.7736
39;5.701;1.195;23.97;0.775
40;5.729;1.195;23.97;0.776
41;5.816;1.197;24.03;0.7755
42;5.98;1.199;24.07;0.7766
43;6.034;1.202;24.07;0.7805
44;6.034;1.206;24.07;0.7815
45;6.045;1.208;24.13;0.782
46;6.045;1.208;24.22;0.7847
47;6.057;1.208;24.23;0.7873
48;6.062;1.205;24.23;0.7885
49;6.134;1.202;24.23;0.7905
50;6.153;1.202;24.27;0.7945
51;6.153;1.2;24.34;0.7982
52;6.165;1.195;24.38;0.7996
53;6.167;1.193;24.38;0.8006
54;6.181;1.194;24.45;0.8001
55;6.181;1.195;24.49;0.8006
56;6.186;1.195;24.51;0.8009
57;6.195;1.195;24.53;0.8006
58;6.214;1.198;24.54;0.8017
59;6.214;1.201;24.55;0.8059
