;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;3.036;0.9585;12.01;0.6167
1;3.038;0.9589;12.02;0.6157
2;3.05;0.9585;12.03;0.6144
3;3.071;0.9581;12.12;0.6134
4;3.071;0.9581;12.51;0.6133
5;3.146;0.9585;13.04;0.6134
6;3.305;0.9561;13.37;0.6136
7;3.333;0.9565;13.52;0.6136
8;3.352;0.9573;13.66;0.6189
9;3.378;0.9573;13.82;0.6245
10;3.378;0.9573;13.98;0.6286
11;3.392;0.9573;14.1;0.6306
12;3.448;0.9596;14.17;0.6298
13;3.537;0.9608;14.17;0.6298
14;3.617;0.9569;14.22;0.6319
15;3.654;0.9557;14.34;0.6323
16;3.657;0.9553;14.45;0.6318
17;3.661;0.9553;14.51;0.6306
18;3.666;0.9553;14.53;0.6303
19;3.671;0.9553;14.54;0.6303
20;3.673;0.9557;14.54;0.6302
21;3.683;0.9577;14.54;0.6306
22;3.781;0.9659;14.54;0.63
23;3.926;0.9749;14.55;0.63
24;4.001;0.9784;14.58;0.6303
25;4.004;0.9799;14.59;0.6298
26;4.041;0.9815;14.63;0.6311
27;4.128;0.9784;14.78;0.6335
28;4.203;0.976;14.9;0.6339
29;4.25;0.9749;14.99;0.6337
30;4.273;0.976;15.18;0.6342
31;4.283;0.9788;15.24;0.6345
32;4.287;0.9776;15.34;0.6348
33;4.334;0.9756;15.63;0.6343
34;4.344;0.9745;15.7;0.6363
35;4.348;0.9745;15.8;0.6396
36;4.355;0.9749;16.41;0.6403
37;4.449;0.9752;17.0;0.6396
38;4.613;0.9752;17.11;0.6387
39;4.772;0.9756;17.12;0.6385
40;4.819;0.976;17.16;0.6388
41;4.819;0.9788;17.18;0.6388
42;4.822;0.9823;17.18;0.6393
43;4.829;0.985;17.18;0.6406
44;4.838;0.9854;17.18;0.6413
45;4.89;0.9866;17.19;0.6416
46;4.972;0.9889;17.21;0.645
47;4.981;0.9913;17.22;0.6472
48;4.981;0.9944;17.23;0.6483
49;5.0;0.9975;17.26;0.649
50;5.035;0.9948;17.41;0.6493
51;5.051;0.9936;17.59;0.6493
52;5.051;0.994;17.77;0.6511
53;5.065;0.9948;17.94;0.6511
54;5.084;0.9955;17.99;0.6517
55;5.084;0.9948;17.99;0.6532
56;5.084;0.9901;17.99;0.6527
57;5.087;0.9862;18.04;0.6503
58;5.096;0.9877;18.16;0.6472
59;5.126;0.9881;18.27;0.6467
60;5.185;0.9897;18.39;0.6464
61;5.197;0.9913;18.49;0.6432
62;5.208;0.9909;18.49;0.6432
63;5.232;0.9893;18.5;0.6454
64;5.232;0.9881;18.55;0.6453
65;5.244;0.987;18.77;0.6458
66;5.272;0.9881;19.19;0.6464
67;5.314;0.9924;19.41;0.6459
68;5.326;0.9913;19.42;0.6461
69;5.326;0.9905;19.44;0.6477
70;5.328;0.9916;19.53;0.6482
71;5.335;0.9924;19.67;0.6487
72;5.354;0.9916;19.89;0.6535
73;5.373;0.9905;20.13;0.6622
74;5.375;0.9893;20.18;0.6692
75;5.455;0.9874;20.18;0.6704
76;5.734;0.9834;20.18;0.6705
77;5.82;0.9799;20.19;0.6696
78;5.846;0.9795;20.2;0.6679
79;5.994;0.9792;20.22;0.6679
80;6.095;0.9784;20.24;0.6675
81;6.118;0.9772;20.25;0.6673
82;6.123;0.9752;20.27;0.6686
83;6.125;0.9725;20.41;0.6715
84;6.13;0.9686;20.6;0.6718
85;6.141;0.9663;20.73;0.6718
86;6.141;0.9663;20.73;0.6725
87;6.141;0.9659;20.9;0.6731
88;6.144;0.9643;21.33;0.6708
89;6.146;0.9628;21.76;0.6671
90;6.148;0.9631;22.24;0.6688
91;6.155;0.9655;22.74;0.6696
92;6.184;0.9674;23.02;0.6696
93;6.209;0.9674;23.08;0.6692
94;6.216;0.9674;23.08;0.6696
95;6.216;0.9733;23.1;0.6702
96;6.223;0.9858;23.15;0.6716
97;6.245;0.9979;23.26;0.6745
98;6.296;1.008;23.34;0.6816
99;6.301;1.02;23.34;0.6927
100;6.357;1.032;23.35;0.6995
101;6.425;1.04;23.37;0.7012
102;6.439;1.041;23.4;0.703
103;6.446;1.041;23.41;0.7041
104;6.448;1.038;23.42;0.7043
105;6.451;1.04;23.44;0.704
106;6.46;1.039;23.46;0.7045
107;6.577;1.042;23.47;0.7054
108;6.659;1.044;23.59;0.7061
109;6.662;1.044;23.73;0.7072
110;6.725;1.044;23.74;0.7083
111;6.744;1.044;23.76;0.7086
112;6.753;1.046;23.86;0.7085
113;6.791;1.05;24.1;0.7088
114;6.793;1.051;24.21;0.7096
115;6.849;1.051;24.22;0.7101
116;6.971;1.051;24.24;0.7106
117;7.018;1.051;24.25;0.711
118;7.025;1.05;24.25;0.7114
119;7.025;1.05;24.43;0.7114
120;7.03;1.056;24.67;0.7127
121;7.034;1.07;24.74;0.7138
122;7.051;1.071;24.74;0.7138
123;7.163;1.071;24.8;0.7133
124;7.267;1.071;24.9;0.7138
125;7.316;1.07;25.11;0.7167
126;7.37;1.071;25.34;0.7191
127;7.459;1.071;25.4;0.7217
128;7.581;1.072;25.41;0.7313
129;7.653;1.076;25.47;0.7495
130;7.663;1.081;25.49;0.7673
131;7.665;1.084;25.5;0.7789
132;7.679;1.086;25.57;0.7863
133;7.698;1.089;25.73;0.7911
134;7.712;1.093;25.97;0.7937
135;7.731;1.096;26.07;0.7953
136;7.778;1.101;26.08;0.7953
137;7.855;1.105;26.09;0.7956
138;7.878;1.111;26.12;0.7955
139;7.878;1.119;26.16;0.7955
140;7.878;1.117;26.18;0.7972
141;7.878;1.117;26.2;0.7992
142;7.883;1.119;26.22;0.7998
143;7.883;1.121;26.23;0.7998
144;7.883;1.122;26.27;0.8093
145;7.942;1.121;26.35;0.8173
146;8.049;1.12;26.46;0.8186
147;8.108;1.12;26.46;0.8186
148;8.155;1.118;26.73;0.8188
149;8.155;1.115;27.18;0.8215
150;8.202;1.115;27.41;0.8255
151;8.289;1.115;27.54;0.826
152;8.387;1.112;27.56;0.826
153;8.516;1.105;27.58;0.8262
154;8.556;1.103;27.62;0.8271
155;8.556;1.104;27.64;0.8291
156;8.558;1.106;27.68;0.8328
157;8.558;1.106;27.74;0.8341
158;8.565;1.104;27.77;0.8345
159;8.598;1.103;27.82;0.8376
160;8.619;1.105;28.0;0.8416
161;8.621;1.11;28.31;0.8421
162;8.671;1.113;28.57;0.8424
163;8.722;1.113;28.75;0.8426
164;8.739;1.114;28.87;0.8431
165;8.739;1.115;28.89;0.8442
166;8.741;1.117;28.92;0.8443
167;8.755;1.122;29.06;0.8442
168;8.79;1.129;29.17;0.8435
169;8.842;1.141;29.24;0.8419
170;8.891;1.151;29.3;0.8405
171;8.917;1.153;29.3;0.8387
172;8.928;1.154;29.31;0.8365
173;9.008;1.154;29.31;0.8395
174;9.252;1.153;29.31;0.8423
175;9.39;1.149;29.33;0.8429
176;9.393;1.144;29.39;0.8455
177;9.404;1.146;29.39;0.8487
178;9.414;1.145;29.39;0.8488
179;9.435;1.143;29.39;0.8495
180;9.503;1.143;29.39;0.8567
181;9.606;1.142;29.4;0.8635
182;9.674;1.139;29.43;0.8683
183;9.716;1.138;29.45;0.872
184;9.754;1.136;29.45;0.8738
