;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;12.55;2.452;1.55;1.073
1;13.6;2.479;1.554;1.081
2;14.83;2.519;1.565;1.083
3;15.68;2.579;1.584;1.083
4;15.93;2.647;1.586;1.083
5;15.94;2.7;1.589;1.086
6;16.0;2.737;1.596;1.089
7;16.25;2.765;1.596;1.089
8;16.76;2.785;1.602;1.094
9;17.43;2.797;1.605;1.096
10;18.16;2.804;1.604;1.096
11;18.8;2.813;1.603;1.094
12;19.21;2.82;1.6;1.094
13;19.46;2.826;1.602;1.094
14;19.66;2.829;1.609;1.094
15;19.84;2.831;1.609;1.094
16;19.97;2.833;1.611;1.094
17;20.06;2.836;1.613;1.094
18;20.12;2.838;1.614;1.094
19;20.17;2.84;1.614;1.094
20;20.2;2.841;1.614;1.094
21;20.2;2.847;1.616;1.094
22;20.21;2.849;1.617;1.094
23;20.23;2.85;1.617;1.094
24;20.27;2.85;1.618;1.096
25;20.31;2.85;1.619;1.096
26;20.34;2.849;1.622;1.099
27;20.34;2.85;1.634;1.102
28;20.34;2.85;1.648;1.102
29;20.37;2.852;1.658;1.102
30;20.4;2.861;1.656;1.102
31;20.41;2.875;1.655;1.104
32;20.41;2.888;1.655;1.102
33;20.42;2.896;1.656;1.102
34;20.42;2.907;1.656;1.104
35;20.45;2.919;1.66;1.107
36;20.55;2.93;1.67;1.112
37;20.68;2.941;1.671;1.123
38;20.79;2.951;1.671;1.125
39;20.87;2.96;1.67;1.125
40;20.9;2.967;1.668;1.146
41;20.91;2.969;1.668;1.214
42;20.91;2.971;1.67;1.293
43;20.92;2.971;1.675;1.369
44;20.93;2.971;1.679;1.442
45;20.93;2.972;1.682;1.518
46;20.94;2.976;1.681;1.607
47;21.02;2.985;1.683;1.683
48;21.18;2.992;1.689;1.722
49;21.36;2.999;1.739;1.74
50;21.54;3.003;1.757;1.745
51;21.67;3.003;1.784;1.748
52;21.79;3.004;1.931;1.751
53;21.94;3.006;2.057;1.751
54;22.08;3.008;2.096;1.751
55;22.44;3.008;2.106;1.761
56;23.22;3.008;2.12;1.806
57;23.92;3.01;2.153;1.858
58;24.25;3.011;2.17;1.879
59;24.37;3.011;2.162;1.879
60;24.37;3.011;2.162;1.881
61;24.51;3.013;2.164;1.881
62;24.78;3.017;2.188;1.887
63;25.29;3.026;2.3;1.9
64;26.27;3.034;2.422;1.936
65;27.21;3.045;2.462;1.994
66;27.76;3.059;2.467;2.07
67;28.13;3.077;2.469;2.141
68;28.41;3.093;2.477;2.214
69;28.62;3.118;2.479;2.326
70;28.87;3.157;2.48;2.455
71;29.1;3.183;2.482;2.549
72;29.21;3.188;2.493;2.601
73;29.26;3.187;2.52;2.627
74;29.29;3.185;2.532;2.638
