;FLEX.CAPR.U RT,%;BICEPS BR. RT,%;BRACHIORAD. RT,%;LAT. TRICEPS RT,%
0;13.37;4.189;3.185;2.635
1;14.72;4.201;3.186;2.643
2;15.49;4.219;3.189;2.648
3;16.02;4.24;3.191;2.651
4;16.19;4.261;3.201;2.651
5;16.26;4.286;3.218;2.687
6;17.13;4.323;3.225;2.758
7;18.3;4.371;3.228;2.8
8;18.86;4.412;3.231;2.826
9;19.02;4.431;3.236;2.852
10;19.1;4.435;3.237;2.86
11;19.15;4.433;3.238;2.863
12;19.15;4.431;3.238;2.933
13;19.24;4.438;3.254;3.14
14;19.43;4.456;3.282;3.334
15;19.59;4.465;3.287;3.42
16;19.71;4.465;3.295;3.431
17;19.81;4.493;3.332;3.444
18;19.82;4.557;3.362;3.509
19;19.84;4.607;3.375;3.577
20;19.92;4.628;3.376;3.653
21;20.01;4.626;3.379;3.758
22;20.07;4.624;3.394;3.875
23;20.07;4.631;3.418;3.978
24;20.12;4.653;3.43;4.046
25;20.31;4.702;3.431;4.087
26;20.5;4.775;3.433;4.111
27;20.61;4.862;3.433;4.121
28;20.65;4.962;3.433;4.124
29;20.66;5.062;3.45;4.124
30;20.7;5.132;3.512;4.124
31;21.06;5.171;3.56;4.127
32;21.83;5.185;3.573;4.15
33;22.43;5.187;3.575;4.184
34;22.61;5.184;3.576;4.192
35;22.63;5.191;3.577;4.2
36;22.63;5.21;3.577;4.244
37;22.65;5.256;3.581;4.331
38;22.67;5.332;3.586;4.396
39;22.72;5.416;3.587;4.43
40;22.85;5.486;3.602;4.443
41;23.04;5.524;3.665;4.446
42;23.27;5.531;3.714;4.449
43;23.55;5.529;3.718;4.49
44;23.66;5.531;3.722;4.6
45;23.68;5.538;3.724;4.679
46;23.9;5.54;3.724;4.702
47;24.1;5.543;3.724;4.757
48;24.22;5.543;3.727;5.022
49;24.31;5.571;3.734;5.548
50;24.35;5.628;3.734;6.142
51;24.35;5.653;3.735;6.448
52;24.35;5.653;3.741;6.448
53;24.35;5.663;3.785;6.631
54;24.35;5.711;3.804;7.225
55;24.38;5.812;3.811;8.617
56;24.39;5.959;3.83;10.57
57;24.39;6.08;3.84;12.19
58;24.39;6.147;3.845;13.42
59;24.4;6.195;3.848;14.12
60;24.4;6.223;3.861;14.18
61;24.42;6.228;3.863;14.27
62;24.65;6.228;3.876;14.65
63;25.57;6.242;3.945;15.62
64;26.63;6.267;3.983;17.23
65;26.95;6.274;3.998;18.57
66;26.96;6.271;4.034;19.27
67;26.99;6.311;4.059;19.55
68;27.22;6.455;4.071;19.62
69;27.87;6.664;4.104;19.62
70;28.78;6.821;4.142;19.63
71;29.38;6.931;4.147;19.63
72;29.67;7.018;4.151;19.63
73;29.88;7.069;4.168;19.63
74;29.99;7.101;4.183;19.64
75;29.99;7.129;4.189;19.66
76;30.0;7.154;4.194;19.69
77;30.0;7.175;4.2;19.72
78;30.03;7.191;4.202;19.76
79;30.04;7.195;4.205;19.77
80;30.06;7.19;4.206;19.78
81;30.08;7.181;4.206;19.78
82;30.09;7.174;4.21;19.78
83;30.09;7.186;4.219;19.79
84;30.09;7.252;4.23;19.79
85;30.1;7.39;4.236;19.79
86;30.1;7.581;4.237;19.79
87;30.1;7.797;4.239;19.79
88;30.1;8.068;4.24;19.8
89;30.12;8.401;4.25;19.81
90;30.15;8.691;4.295;19.81
91;30.21;8.863;4.341;19.81
92;30.57;8.967;4.374;19.83
93;31.51;9.052;4.388;19.88
94;32.33;9.107;4.389;19.92
95;32.71;9.13;4.389;19.95
96;33.02;9.139;4.401;19.95
97;33.23;9.141;4.442;19.96
98;33.23;9.144;4.502;19.96
99;33.35;9.18;4.527;19.99
100;33.42;9.233;4.527;20.03
101;33.43;9.275;4.527;20.06
102;33.43;9.298;4.539;20.29
103;33.65;9.318;4.541;21.02
104;34.95;9.357;4.562;21.7
105;36.61;9.401;4.676;22.09
106;37.13;9.424;4.908;22.45
